ID,Parent,Child,TrueOrFalse
0,X75,X106,true
1,X27,X189,true
2,X20,X99,true
3,X89,X103,true
4,X66,X115,true
5,X124,X139,true
6,X40,X87,true
7,X103,X161,true
8,X10,X27,true
9,X20,X77,true
10,X20,X23,true
11,X33,X127,true
12,X127,X156,true
13,X18,X143,true
14,X18,X113,true
15,X141,X171,true
16,X15,X20,true
17,X13,X161,true
18,X1,X52,true
19,X31,X44,true
20,X45,X166,true
21,X178,X179,true
22,X152,X199,true
23,X172,X193,true
24,X24,X197,true
25,X60,X101,true
26,X57,X181,true
27,X145,X163,true
28,X142,X175,true
29,X39,X190,true
30,X62,X118,true
31,X52,X162,true
32,X22,X165,true
33,X116,X184,true
34,X29,X65,true
35,X64,X162,true
36,X33,X142,true
37,X42,X83,true
38,X21,X89,true
39,X80,X194,true
40,X110,X126,true
41,X76,X124,true
42,X177,X194,true
43,X31,X53,true
44,X3,X85,true
45,X54,X63,true
46,X17,X142,true
47,X8,X132,true
48,X91,X105,true
49,X5,X147,true
50,X25,X111,true
51,X36,X97,true
52,X59,X145,true
53,X13,X106,true
54,X32,X67,true
55,X3,X97,true
56,X101,X104,true
57,X76,X115,true
58,X94,X139,true
59,X109,X184,true
60,X35,X140,true
61,X51,X127,true
62,X13,X42,true
63,X70,X176,true
64,X116,X158,true
65,X91,X100,true
66,X65,X144,true
67,X2,X199,true
68,X5,X118,true
69,X20,X167,true
70,X109,X145,true
71,X95,X191,true
72,X33,X65,true
73,X100,X195,true
74,X120,X193,true
75,X0,X124,true
76,X45,X154,true
77,X44,X61,true
78,X7,X27,true
79,X40,X137,true
80,X61,X122,true
81,X121,X125,true
82,X52,X149,true
83,X5,X123,true
84,X80,X151,true
85,X72,X190,true
86,X141,X145,true
87,X43,X119,true
88,X31,X187,true
89,X133,X138,true
90,X3,X72,true
91,X170,X190,true
92,X8,X148,true
93,X15,X43,true
94,X38,X195,true
95,X70,X198,true
96,X19,X34,true
97,X132,X139,true
98,X51,X61,true
99,X154,X158,true
100,X31,X140,true
101,X94,X150,true
102,X101,X170,true
103,X103,X168,true
104,X128,X178,true
105,X16,X199,true
106,X119,X133,true
107,X150,X191,true
108,X21,X75,true
109,X68,X85,true
110,X31,X73,true
111,X13,X30,true
112,X47,X89,true
113,X92,X193,true
114,X59,X103,true
115,X35,X83,true
116,X23,X41,true
117,X19,X117,true
118,X131,X150,true
119,X36,X40,true
120,X60,X127,true
121,X134,X187,true
122,X8,X139,true
123,X19,X49,true
124,X84,X161,true
125,X13,X39,true
126,X51,X60,true
127,X174,X110,false
128,X88,X167,false
129,X45,X133,false
130,X28,X81,false
131,X37,X160,false
132,X67,X198,false
133,X178,X96,false
134,X83,X199,false
135,X75,X18,false
136,X44,X112,false
137,X154,X17,false
138,X66,X150,false
139,X172,X163,false
140,X172,X69,false
141,X34,X190,false
142,X124,X3,false
143,X144,X131,false
144,X111,X106,false
145,X60,X14,false
146,X0,X97,false
147,X139,X174,false
148,X164,X50,false
149,X43,X69,false
150,X175,X49,false
151,X44,X102,false
152,X133,X58,false
153,X126,X7,false
154,X199,X156,false
155,X111,X104,false
156,X67,X22,false
157,X69,X1,false
158,X122,X145,false
159,X76,X96,false
160,X174,X141,false
161,X16,X198,false
162,X141,X10,false
163,X159,X177,false
164,X14,X51,false
165,X198,X50,false
166,X109,X39,false
167,X68,X10,false
168,X107,X47,false
169,X55,X37,false
170,X9,X136,false
171,X110,X108,false
172,X169,X138,false
173,X24,X172,false
174,X195,X116,false
175,X137,X73,false
176,X104,X118,false
177,X164,X183,false
178,X176,X22,false
179,X60,X66,false
180,X76,X25,false
181,X5,X139,false
182,X163,X131,false
183,X39,X24,false
184,X69,X123,false
185,X151,X179,false
186,X97,X174,false
187,X182,X90,false
188,X103,X136,false
189,X97,X198,false
190,X2,X86,false
191,X120,X35,false
192,X91,X33,false
193,X30,X181,false
194,X5,X39,false
195,X175,X160,false
196,X8,X95,false
197,X161,X52,false
198,X15,X196,false
199,X50,X117,false
200,X29,X17,false
201,X18,X112,false
202,X86,X139,false
203,X105,X166,false
204,X25,X21,false
205,X21,X45,false
206,X27,X39,false
207,X75,X141,false
208,X181,X180,false
209,X11,X141,false
210,X106,X84,false
211,X114,X72,false
212,X159,X136,false
213,X8,X19,false
214,X171,X74,false
215,X168,X128,false
216,X137,X99,false
217,X97,X147,false
218,X8,X163,false
219,X80,X120,false
220,X121,X170,false
221,X119,X173,false
222,X109,X47,false
223,X57,X143,false
224,X143,X21,false
225,X64,X67,false
226,X134,X198,false
227,X17,X187,false
228,X9,X111,false
229,X90,X92,false
230,X111,X62,false
231,X72,X38,false
232,X101,X153,false
233,X51,X73,false
234,X188,X102,false
235,X4,X15,false
236,X137,X41,false
237,X86,X175,false
238,X83,X141,false
239,X6,X100,false
240,X13,X109,false
241,X60,X23,false
242,X154,X12,false
243,X188,X42,false
244,X50,X94,false
245,X75,X154,false
246,X112,X119,false
247,X101,X23,false
248,X133,X132,false
249,X177,X78,false
250,X26,X95,false
251,X186,X13,false
252,X165,X4,false
253,X74,X82,false
