ID,Variable1,Variable2,TrueOrFalse
0,EcstasyBeforePrisonSentence,EcstasyAfterRelease,true
1,CocainePT,SubstanceUse,true
2,LivingCircumstances,SocialProtectiveObs,true
3,AlcoholTreatmentGivenRFAT,HazardousDrinkingPT,true
4,CannabisDependence,AnyDrugDependence,true
5,NegativeAttitude,AttitudeDL,true
6,DrugTreatmentGivenRFAT,CannabisPT,true
7,CocaineDuringPrisonSentence,CocaineAfterRelease,true
8,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
9,AttitudeDL,ViolentConvictionsRate,true
10,ResponsivenessToTreatment,HallucinationsPT,true
11,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
12,ResponseToTreatGivenDrugDep,CocainePT,true
13,Hallucinations,HallucinationsPT,true
14,SocialWithdraw,CriminalNetwork,true
15,Violence,PriorViolentConvictions,true
16,CannabisAfterRelease,CannabisPT,true
17,ViolentThoughts,AggressionDL,true
18,AngerManagement,AngerManagementGivenRFAT,true
19,Intelligence,AbilityToCope,true
20,AnxietyPT,FinancialDifficulties,true
21,TimeAtRisk,ViolentConvictions,true
22,Victimisation,ProblematicLifeEvents,true
23,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
24,ParanoidDelusions,ParanoidDelusionsPT,true
25,SymptomsOfMentalIllness,StrangeExperiences,true
26,EcstasyDependence,AnyDrugDependence,true
27,HazardousDrinkingPT,SubstanceUse,true
28,MentalIllnessDL,SubstanceUse,false
29,DrugTreatmentGivenRFAT,Age,false
30,CocaineBeforePrisonSentence,CannabisDependence,false
31,ParanoidDelusions,RefuseFailToAttendTherapy,false
32,AbilityToCope,DepressionPT,false
33,Impulsivity,DrugTreatment,false
34,HazardousDrinkingAfterRelease,ComplianceWithSupervision,false
35,pclrscore,AngerManagement,false
36,AlcoholTreatment,ThoughtInsertionPT,false
37,ComplianceWithSupervision,ViolentConvictions,false
38,EcstasyDuringPrisonSentence,PsychiatricTreatmentGivenRFAT,false
39,Violence,EmploymentOrTraining,false
40,Stress,Hallucinations,false
41,CannabisAfterRelease,PCLRfacet3,false
42,DrugTreatment,ViolentConvictionsRate,false
43,SocialWithdraw,HazardousDrinkingAfterRelease,false
44,AbilityToCope,SymptomsOfMentalIllness,false
45,SocialProtectiveObs,CannabisPT,false
46,AngerManagement,ViolentConvictionsRate,false
47,GangMember,AngerManagement,false
48,MentalIllnessSymptomCount,CannabisBeforePrisonSentence,false
49,ViolentThoughts,EcstasyBeforePrisonSentence,false
50,AngerManagementGivenRFAT,AttitudeDL,false
51,StrangeExperiences,CannabisBeforePrisonSentence,false
52,PriorViolentConvictions,ParanoidDelusions,false
53,prioracq,CannabisBeforePrisonSentence,false
54,StrangeExperiencesPT,ResponseToTreatGivenAlcDep,false
55,DepressionPT,SocialProtectiveObs,false
