ID,Variable1,Variable2,TrueOrFalse
0,CriminalNetwork,CriminalAttitude,true
1,AngerPT,BPD,true
2,AggressionDL,ViolentConvictionsRate,true
3,HallucinationsPT,MentalIllnessSymptomCount,true
4,LivingCircumstances,SocialWithdraw,true
5,AnxietyPT,MentalIllnessSymptomCount,true
6,Hallucinations,HallucinationsPT,true
7,SymptomsOfMentalIllness,ParanoidDelusions,true
8,PsychiatricTreatmentGivenRFAT,DepressionPT,true
9,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
10,CocainePT,SubstanceUse,true
11,SymptomsOfMentalIllness,Anxiety,true
12,ResponseToTreatGivenDrugDep,CocainePT,true
13,LivingCircumstances,DomesticStability,true
14,MentalIllnessDL,ViolentConvictionsRate,true
15,Violence,pclrscore,true
16,ResponsivenessToTreatment,StrangeExperiencesPT,true
17,Education,Intelligence,true
18,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
19,AbuseNeglectAsChild,BPD,true
20,CannabisDuringPrisonSentence,CannabisDependence,true
21,ResponsivenessToTreatment,ParanoidDelusionsPT,true
22,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
23,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
24,SocialWithdraw,SocialProtectiveObs,true
25,LivingCircumstances,SocialProtectiveObs,true
26,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
27,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
28,HazardousDrinkingAfterRelease,ParanoidDelusions,false
29,ParanoidDelusionsPT,SocialWithdraw,false
30,ASPD,AnyDrugDependence,false
31,EcstasyDependence,NegativeAttitude,false
32,CannabisBeforePrisonSentence,StrangeExperiences,false
33,Impulsivity,Hallucinations,false
34,PCLRfactor2,AggressionDL,false
35,CocaineBeforePrisonSentence,DomesticStability,false
36,Hallucinations,NegativeAttitude,false
37,CannabisPT,PCLRfacet3,false
38,FinancialDifficulties,Gender,false
39,TimeAtRisk,CriminalFamilyBackground,false
40,EcstasyDependence,PCLRfactor2,false
41,NegativeAttitude,Intelligence,false
42,StrangeExperiencesPT,HazardousDrinkingPT,false
43,AbilityToCope,Anxiety,false
44,ThoughtInsertionPT,CocainePT,false
45,DomesticStability,DrugTreatmentGivenRFAT,false
46,ASPD,CannabisDuringPrisonSentence,false
47,SubstanceUse,prioracq,false
48,PCLRfacet3,AngerPT,false
49,AnyDrugDependence,EcstasyPT,false
50,EcstasyBeforePrisonSentence,DrugTreatmentGivenRFAT,false
51,CannabisDuringPrisonSentence,HazardousDrinkingPT,false
52,SubstanceUse,AngerPT,false
53,ResponsivenessToTreatment,CocaineAfterRelease,false
54,StrangeExperiences,Anxiety,false
55,PCLRfactor2,AttitudeDL,false
