ID,Parent,Child,TrueOrFalse
0,EcstasyAfterRelease,EcstasyPT,true
1,CocaineAfterRelease,CocainePT,true
2,Violence,Gender,true
3,Impulsivity,PCLRfacet3,true
4,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
5,ResponsivenessToTreatment,AngerPT,true
6,PsychiatricTreatmentGivenRFAT,AnxietyPT,true
7,EcstasyBeforePrisonSentence,EcstasyAfterRelease,true
8,RefuseFailToAttendTherapy,AngerManagementGivenRFAT,true
9,SymptomsOfMentalIllness,ParanoidDelusions,true
10,Intelligence,AbilityToCope,true
11,ResponsivenessToTreatment,ThoughtInsertionPT,true
12,CriminalNetwork,GangMember,true
13,Anxiety,AnxietyPT,true
14,ThoughtInsertion,ThoughtInsertionPT,true
15,ResponsivenessToTreatment,StrangeExperiencesPT,true
16,SocialProtectiveObs,ViolentConvRateGivenProt,true
17,SocialWithdraw,DomesticStability,true
18,GangMember,NegativeAttitude,true
19,Victimisation,ViolentThoughts,true
20,LivingCircumstances,SocialProtectiveObs,true
21,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
22,SymptomsOfMentalIllness,ThoughtInsertion,true
23,Education,Intelligence,true
24,DrugTreatment,DrugTreatmentGivenRFAT,true
25,CriminalNetwork,CriminalAttitude,true
26,ComplianceWithSupervision,NegativeAttitude,true
27,ViolentConvictions,Violence,true
28,PsychiatricTreatmentGivenRFAT,prioracq,false
29,Education,AbilityToCope,false
30,ComplianceWithSupervision,CocaineDuringPrisonSentence,false
31,RefuseFailToAttendTherapy,Age,false
32,SocialWithdraw,ComplianceWithSupervision,false
33,PsychiatricTreatment,CocaineBeforePrisonSentence,false
34,HallucinationsPT,SubstanceMisuseDL,false
35,DrugTreatmentGivenRFAT,CocaineAfterRelease,false
36,SocialProtectiveObs,DrugTreatment,false
37,PriorViolentConvictions,AlcoholDependence,false
38,StrangeExperiencesPT,Violence,false
39,CocaineDuringPrisonSentence,PsychiatricTreatment,false
40,RefuseFailToAttendTherapy,EcstasyAfterRelease,false
41,EcstasyAfterRelease,DepressionPT,false
42,AngerManagementGivenRFAT,pclrscore,false
43,Violence,EcstasyDependence,false
44,Stress,ThoughtInsertionPT,false
45,HallucinationsPT,ThoughtInsertionPT,false
46,AbuseNeglectAsChild,AlcoholTreatment,false
47,EcstasyDependence,PsychiatricTreatment,false
48,CocaineDuringPrisonSentence,CannabisAfterRelease,false
49,EcstasyPT,NegativeAttitude,false
50,Gender,EcstasyDuringPrisonSentence,false
51,AlcoholTreatmentGivenRFAT,CannabisDependence,false
52,ComplianceWithSupervision,AngerPT,false
53,SocialProtectiveObs,Violence,false
54,Hallucinations,DepressionPT,false
55,CocaineAfterRelease,LivingCircumstances,false
