ID,Parent,Child,TrueOrFalse
0,ViolentConvictionsRate,ViolentConvRateGivenProt,true
1,ResponsivenessToTreatment,ParanoidDelusionsPT,true
2,ResponseToTreatGivenDrugDep,CocainePT,true
3,GangMember,Victimisation,true
4,ASPD,PCLRfactor2,true
5,DepressionPT,MentalIllnessSymptomCount,true
6,AttitudeDL,ViolentConvictionsRate,true
7,AngerPT,ASPD,true
8,EcstasyAfterRelease,EcstasyPT,true
9,CocaineDuringPrisonSentence,CocaineDependence,true
10,ResponsivenessToTreatment,StrangeExperiencesPT,true
11,EcstasyDuringPrisonSentence,EcstasyDependence,true
12,SymptomsOfMentalIllness,Depression,true
13,ComplianceWithSupervision,CriminalAttitude,true
14,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
15,Intelligence,AbilityToCope,true
16,LivingCircumstances,SocialWithdraw,true
17,CannabisDuringPrisonSentence,CannabisDependence,true
18,EmploymentOrTraining,FinancialDifficulties,true
19,TimeAtRisk,ViolentConvictions,true
20,DrugTreatmentGivenRFAT,CocainePT,true
21,GangMember,NegativeAttitude,true
22,CannabisBeforePrisonSentence,CannabisAfterRelease,true
23,AnyDrugDependence,ResponseToTreatGivenDrugDep,true
24,ASPD,Impulsivity,true
25,EmploymentOrTraining,DomesticStability,true
26,ViolentConvRateGivenProt,ViolentConvictions,true
27,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
28,SocialProtectiveObs,ViolentConvRateGivenProt,true
29,SymptomsOfMentalIllness,ParanoidDelusions,true
30,LivingCircumstances,DomesticStability,true
31,Impulsivity,PCLRfacet3,true
32,DrugTreatmentGivenRFAT,EcstasyPT,true
33,AnxietyPT,FinancialDifficulties,true
34,SymptomsOfMentalIllness,Anxiety,true
35,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
36,ViolentConvictions,Violence,true
37,RefuseFailToAttendTherapy,AngerManagementGivenRFAT,true
38,ViolentThoughts,AggressionDL,true
39,CannabisDependence,AnyDrugDependence,true
40,SocialWithdraw,SocialProtectiveObs,true
41,CocaineDependence,AnyDrugDependence,true
42,HazardousDrinkingAfterRelease,AlcoholDependence,true
43,Depression,DepressionPT,true
44,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
45,StrangeExperiences,StrangeExperiencesPT,true
46,Violence,PriorViolentConvictions,true
47,LivingCircumstances,CriminalNetwork,true
48,GangMember,CriminalAttitude,true
49,SymptomsOfMentalIllness,StrangeExperiences,true
50,DrugTreatment,DrugTreatmentGivenRFAT,true
51,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
52,DepressionPT,FinancialDifficulties,true
53,MentalIllnessSymptomCount,MentalIllnessDL,true
54,CannabisDuringPrisonSentence,CannabisAfterRelease,true
55,AnxietyPT,MentalIllnessSymptomCount,true
56,LivingCircumstances,SocialProtectiveObs,true
57,HallucinationsPT,MentalIllnessSymptomCount,true
58,CriminalNetwork,CriminalAttitude,true
59,AngerManagementGivenRFAT,AngerPT,true
60,SubstanceUse,SubstanceMisuseDL,true
61,Intelligence,ResponsivenessToTreatment,true
62,AngerManagement,AngerManagementGivenRFAT,true
63,CocaineBeforePrisonSentence,CocaineAfterRelease,true
