ID,Parent,Child,TrueOrFalse
0,ResponsivenessToTreatment,PCLRfactor1,true
1,CriminalAttitude,AttitudeDL,true
2,CannabisDuringPrisonSentence,CannabisDependence,true
3,CriminalNetwork,GangMember,true
4,Education,Intelligence,true
5,CriminalNetwork,NegativeAttitude,true
6,AlcoholDependence,ResponseToTreatGivenAlcDep,true
7,ProblematicLifeEvents,Stress,true
8,ResponsivenessToTreatment,AnxietyPT,true
9,GangMember,NegativeAttitude,true
10,Intelligence,AbilityToCope,true
11,ComplianceWithSupervision,NegativeAttitude,true
12,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
13,Impulsivity,AggressionDL,true
14,ViolentThoughts,AggressionDL,true
15,AngerPT,BPD,true
16,ResponseToTreatGivenDrugDep,EcstasyPT,true
17,CocaineBeforePrisonSentence,CocaineAfterRelease,true
18,Depression,DepressionPT,true
19,AggressionDL,ViolentConvictionsRate,true
20,Violence,PriorViolentConvictions,true
21,GangMember,Victimisation,true
22,DrugTreatment,DrugTreatmentGivenRFAT,true
23,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
24,MentalIllnessDL,ViolentConvictionsRate,true
25,SubstanceUse,SubstanceMisuseDL,true
26,StrangeExperiences,StrangeExperiencesPT,true
27,ResponsivenessToTreatment,ParanoidDelusionsPT,true
28,DomesticStability,Impulsivity,false
29,AngerManagement,ThoughtInsertionPT,false
30,prioracq,ComplianceWithSupervision,false
31,CocaineDependence,Violence,false
32,GangMember,CannabisDependence,false
33,ResponseToTreatGivenAlcDep,ThoughtInsertion,false
34,DepressionPT,AngerPT,false
35,ComplianceWithSupervision,ViolentConvRateGivenProt,false
36,CriminalNetwork,prioracq,false
37,CocaineDependence,Education,false
38,CocaineAfterRelease,pclrscore,false
39,AlcoholTreatmentGivenRFAT,PsychiatricTreatment,false
40,MentalIllnessSymptomCount,ResponseToTreatGivenDrugDep,false
41,Impulsivity,ProblematicLifeEvents,false
42,AlcoholDependence,BPD,false
43,CriminalFamilyBackground,RefuseFailToAttendTherapy,false
44,CocaineAfterRelease,PCLRfactor2,false
45,ThoughtInsertionPT,ResponseToTreatGivenAlcDep,false
46,FinancialDifficulties,PriorViolentConvictions,false
47,AngerManagement,SymptomsOfMentalIllness,false
48,ResponsivenessToTreatment,AbilityToCope,false
49,AbilityToCope,ViolentConvictionsRate,false
50,ViolentConvRateGivenProt,TimeAtRisk,false
51,CannabisDuringPrisonSentence,Anger,false
52,ThoughtInsertion,AngerManagementGivenRFAT,false
53,CannabisAfterRelease,SubstanceUse,false
54,Stress,CocaineDependence,false
55,EcstasyDuringPrisonSentence,MentalIllnessDL,false
