ID,Parent,Child,TrueOrFalse
0,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
1,EcstasyDependence,AnyDrugDependence,true
2,CriminalAttitude,AttitudeDL,true
3,SymptomsOfMentalIllness,Hallucinations,true
4,ViolentConvictionsRate,ViolentConvRateGivenProt,true
5,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
6,AnxietyPT,FinancialDifficulties,true
7,RefuseFailToAttendTherapy,AngerManagementGivenRFAT,true
8,Impulsivity,AggressionDL,true
9,AbuseNeglectAsChild,ASPD,true
10,CannabisDuringPrisonSentence,CannabisDependence,true
11,LivingCircumstances,SocialProtectiveObs,true
12,ViolentConvRateGivenProt,ViolentConvictions,true
13,CannabisDependence,AnyDrugDependence,true
14,HazardousDrinkingPT,SubstanceUse,true
15,Anxiety,AnxietyPT,true
16,SocialWithdraw,CriminalNetwork,true
17,AbilityToCope,Stress,true
18,GangMember,Victimisation,true
19,EcstasyBeforePrisonSentence,EcstasyDuringPrisonSentence,true
20,Impulsivity,PCLRfacet3,true
21,LivingCircumstances,SocialWithdraw,true
22,CannabisPT,SubstanceUse,true
23,AngerPT,BPD,true
24,PsychiatricTreatmentGivenRFAT,DepressionPT,true
25,CocaineDependence,AnyDrugDependence,true
26,DepressionPT,SocialWithdraw,true
27,Violence,PriorViolentConvictions,true
28,CannabisPT,CannabisDependence,false
29,SubstanceUse,CocaineDependence,false
30,CannabisDuringPrisonSentence,ResponseToTreatGivenAlcDep,false
31,Gender,FinancialDifficulties,false
32,DrugTreatment,EcstasyBeforePrisonSentence,false
33,ViolentThoughts,CannabisPT,false
34,CocaineDependence,AngerPT,false
35,EcstasyPT,DrugTreatment,false
36,ResponseToTreatGivenAlcDep,CriminalAttitude,false
37,Stress,ParanoidDelusionsPT,false
38,CannabisDependence,CocainePT,false
39,AbuseNeglectAsChild,PsychiatricTreatment,false
40,AngerPT,Anxiety,false
41,Anger,AnxietyPT,false
42,AlcoholTreatment,AggressionDL,false
43,EcstasyBeforePrisonSentence,CannabisDependence,false
44,AnxietyPT,Hallucinations,false
45,HazardousDrinkingAfterRelease,Hallucinations,false
46,NegativeAttitude,CriminalAttitude,false
47,AttitudeDL,AlcoholDependence,false
48,AlcoholDependence,LivingCircumstances,false
49,ViolentConvictionsRate,PsychiatricTreatment,false
50,ThoughtInsertion,DepressionPT,false
51,RefuseFailToAttendTherapy,PsychiatricTreatment,false
52,FinancialDifficulties,Impulsivity,false
53,AbilityToCope,LivingCircumstances,false
54,PCLRfactor2,ComplianceWithSupervision,false
55,Impulsivity,StrangeExperiences,false
