ID,Parent,Child,TrueOrFalse
0,Violence,prioracq,true
1,Depression,DepressionPT,true
2,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
3,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
4,ResponsivenessToTreatment,HallucinationsPT,true
5,SymptomsOfMentalIllness,ThoughtInsertion,true
6,CocainePT,SubstanceUse,true
7,Intelligence,AbilityToCope,true
8,AngerPT,ViolentThoughts,true
9,BPD,Impulsivity,true
10,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
11,EcstasyDuringPrisonSentence,EcstasyDependence,true
12,DepressionPT,MentalIllnessSymptomCount,true
13,ASPD,PCLRfactor2,true
14,DrugTreatmentGivenRFAT,CannabisPT,true
15,ASPD,Impulsivity,true
16,ResponseToTreatGivenDrugDep,CannabisPT,true
17,DrugTreatmentGivenRFAT,EcstasyPT,true
18,ThoughtInsertionPT,MentalIllnessSymptomCount,true
19,PsychiatricTreatmentGivenRFAT,DepressionPT,true
20,AngerPT,BPD,true
21,SocialWithdraw,SocialProtectiveObs,true
22,Impulsivity,AggressionDL,true
23,DrugTreatment,DrugTreatmentGivenRFAT,true
24,ResponseToTreatGivenDrugDep,EcstasyPT,true
25,SocialWithdraw,CriminalNetwork,true
26,ResponseToTreatGivenDrugDep,CocainePT,true
27,ThoughtInsertion,ThoughtInsertionPT,true
28,EcstasyDuringPrisonSentence,Intelligence,false
29,ViolentConvictions,ViolentConvictionsRate,false
30,PsychiatricTreatmentGivenRFAT,EmploymentOrTraining,false
31,GangMember,Impulsivity,false
32,ViolentThoughts,ResponsivenessToTreatment,false
33,CocaineAfterRelease,ASPD,false
34,CriminalFamilyBackground,Impulsivity,false
35,CriminalAttitude,DrugTreatment,false
36,DrugTreatment,CocainePT,false
37,EcstasyDuringPrisonSentence,Education,false
38,Depression,ViolentConvictions,false
39,DrugTreatmentGivenRFAT,ThoughtInsertionPT,false
40,AlcoholTreatmentGivenRFAT,CannabisAfterRelease,false
41,ResponseToTreatGivenAlcDep,Anger,false
42,CocainePT,ThoughtInsertion,false
43,ViolentThoughts,Violence,false
44,AngerPT,ParanoidDelusions,false
45,CocaineBeforePrisonSentence,SubstanceUse,false
46,AlcoholDependence,CannabisDuringPrisonSentence,false
47,EcstasyAfterRelease,Violence,false
48,HallucinationsPT,Anger,false
49,CannabisDependence,Impulsivity,false
50,ResponseToTreatGivenDrugDep,ComplianceWithSupervision,false
51,DrugTreatmentGivenRFAT,RefuseFailToAttendTherapy,false
52,SubstanceUse,TimeAtRisk,false
53,AnyDrugDependence,TimeAtRisk,false
54,CocainePT,Intelligence,false
55,AngerPT,Education,false
