ID,Parent,Child,TrueOrFalse
0,ViolentConvRateGivenProt,ViolentConvictions,true
1,DepressionPT,MentalIllnessSymptomCount,true
2,CocaineDependence,AnyDrugDependence,true
3,EcstasyBeforePrisonSentence,EcstasyAfterRelease,true
4,CriminalNetwork,GangMember,true
5,CocaineDuringPrisonSentence,CocaineAfterRelease,true
6,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
7,DrugTreatmentGivenRFAT,EcstasyPT,true
8,Intelligence,AbilityToCope,true
9,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
10,ResponsivenessToTreatment,PCLRfactor1,true
11,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
12,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
13,CannabisPT,SubstanceUse,true
14,DrugTreatment,DrugTreatmentGivenRFAT,true
15,CocaineAfterRelease,CocainePT,true
16,CannabisDependence,AnyDrugDependence,true
17,ResponsivenessToTreatment,AnxietyPT,true
18,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
19,FinancialDifficulties,LivingCircumstances,true
20,HazardousDrinkingAfterRelease,AlcoholDependence,true
21,AngerPT,ASPD,true
22,SymptomsOfMentalIllness,Depression,true
23,ComplianceWithSupervision,CriminalAttitude,true
24,AbuseNeglectAsChild,ASPD,true
25,Impulsivity,AggressionDL,true
26,ResponsivenessToTreatment,HallucinationsPT,true
27,BPD,Impulsivity,true
28,AngerManagement,MentalIllnessSymptomCount,false
29,Gender,CocaineDuringPrisonSentence,false
30,SocialProtectiveObs,AttitudeDL,false
31,CannabisPT,CocainePT,false
32,PCLRfactor2,AngerManagement,false
33,ParanoidDelusions,CannabisAfterRelease,false
34,ThoughtInsertion,CriminalAttitude,false
35,Education,ResponsivenessToTreatment,false
36,AngerPT,AttitudeDL,false
37,EcstasyBeforePrisonSentence,PCLRfactor1,false
38,ComplianceWithSupervision,prioracq,false
39,PCLRfactor2,AttitudeDL,false
40,Stress,CocainePT,false
41,PCLRfacet3,HallucinationsPT,false
42,AnxietyPT,PCLRfactor1,false
43,NegativeAttitude,PsychiatricTreatmentGivenRFAT,false
44,AbilityToCope,AbuseNeglectAsChild,false
45,MentalIllnessSymptomCount,AlcoholTreatment,false
46,pclrscore,DomesticStability,false
47,AnxietyPT,SymptomsOfMentalIllness,false
48,PsychiatricTreatment,CocaineDuringPrisonSentence,false
49,StrangeExperiencesPT,MentalIllnessDL,false
50,PCLRfactor2,AlcoholTreatmentGivenRFAT,false
51,Depression,ThoughtInsertion,false
52,SubstanceMisuseDL,ASPD,false
53,AnxietyPT,CriminalFamilyBackground,false
54,StrangeExperiences,Intelligence,false
55,AngerPT,CocainePT,false
56,AnyDrugDependence,CriminalAttitude,false
57,Gender,Impulsivity,false
58,Anger,ResponseToTreatGivenAlcDep,false
59,BPD,pclrscore,false
60,AngerManagement,Anxiety,false
61,AttitudeDL,DrugTreatment,false
62,AlcoholTreatment,Education,false
63,Hallucinations,CriminalAttitude,false
64,Education,AlcoholDependence,false
65,AngerManagement,LivingCircumstances,false
66,Anger,DomesticStability,false
67,FinancialDifficulties,HallucinationsPT,false
68,CriminalAttitude,EcstasyDuringPrisonSentence,false
69,EcstasyDuringPrisonSentence,DomesticStability,false
70,MentalIllnessSymptomCount,CannabisDependence,false
71,ParanoidDelusions,Age,false
72,ParanoidDelusions,EcstasyAfterRelease,false
73,CocaineAfterRelease,CocaineDependence,false
74,AbilityToCope,SubstanceMisuseDL,false
75,AttitudeDL,CriminalNetwork,false
76,pclrscore,CannabisBeforePrisonSentence,false
77,FinancialDifficulties,DrugTreatment,false
78,HazardousDrinkingPT,Stress,false
79,ViolentThoughts,ViolentConvictions,false
80,CocaineDuringPrisonSentence,ViolentConvictionsRate,false
81,HazardousDrinkingAfterRelease,CannabisAfterRelease,false
82,ViolentConvictionsRate,SubstanceUse,false
83,Education,EcstasyPT,false
