ID,Variable1,Variable2,TrueOrFalse
0,HazardousDrinkingAfterRelease,AlcoholDependence,true
1,EcstasyDependence,AnyDrugDependence,true
2,EmploymentOrTraining,FinancialDifficulties,true
3,EmploymentOrTraining,DomesticStability,true
4,AngerManagementGivenRFAT,AngerPT,true
5,EcstasyAfterRelease,EcstasyPT,true
6,SocialWithdraw,DomesticStability,true
7,Violence,prioracq,true
8,Violence,Age,true
9,LivingCircumstances,SocialWithdraw,true
10,HazardousDrinkingPT,SubstanceUse,true
11,ViolentConvictionsRate,ViolentConvRateGivenProt,true
12,SymptomsOfMentalIllness,Hallucinations,true
13,HallucinationsPT,MentalIllnessSymptomCount,true
14,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
15,PsychiatricTreatmentGivenRFAT,DepressionPT,true
16,FinancialDifficulties,Stress,true
17,EcstasyPT,SubstanceUse,true
18,AnxietyPT,FinancialDifficulties,true
19,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
20,ResponsivenessToTreatment,ThoughtInsertionPT,true
21,ResponsivenessToTreatment,StrangeExperiencesPT,true
22,AlcoholDependence,ResponseToTreatGivenAlcDep,true
23,ViolentConvictions,Violence,true
24,ComplianceWithSupervision,CriminalAttitude,true
25,ResponsivenessToTreatment,AnxietyPT,true
26,StrangeExperiences,StrangeExperiencesPT,true
27,AnxietyPT,MentalIllnessSymptomCount,true
28,TimeAtRisk,prioracq,false
29,CocaineDuringPrisonSentence,ParanoidDelusions,false
30,Stress,CannabisDependence,false
31,ViolentConvictionsRate,Age,false
32,SubstanceMisuseDL,AngerManagement,false
33,SubstanceMisuseDL,Impulsivity,false
34,ComplianceWithSupervision,Hallucinations,false
35,CriminalAttitude,MentalIllnessDL,false
36,ASPD,AlcoholTreatment,false
37,EcstasyPT,MentalIllnessSymptomCount,false
38,Education,StrangeExperiences,false
39,Anxiety,Education,false
40,Intelligence,CriminalAttitude,false
41,RefuseFailToAttendTherapy,SubstanceMisuseDL,false
42,CannabisPT,ViolentConvictionsRate,false
43,ResponseToTreatGivenAlcDep,PsychiatricTreatment,false
44,AlcoholTreatment,AggressionDL,false
45,CriminalFamilyBackground,ViolentConvictionsRate,false
46,ProblematicLifeEvents,Anxiety,false
47,HazardousDrinkingAfterRelease,DrugTreatment,false
48,PCLRfactor1,AbuseNeglectAsChild,false
49,PriorViolentConvictions,ResponseToTreatGivenDrugDep,false
50,Anger,SymptomsOfMentalIllness,false
51,CocaineDependence,AngerManagementGivenRFAT,false
52,MentalIllnessDL,SymptomsOfMentalIllness,false
53,TimeAtRisk,CriminalFamilyBackground,false
54,Gender,ASPD,false
55,SymptomsOfMentalIllness,AttitudeDL,false
