ID,Parent,Child,TrueOrFalse
0,FinancialDifficulties,LivingCircumstances,true
1,Intelligence,AbilityToCope,true
2,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
3,ASPD,PCLRfactor2,true
4,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
5,EcstasyDuringPrisonSentence,EcstasyDependence,true
6,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
7,GangMember,CriminalAttitude,true
8,ResponsivenessToTreatment,ThoughtInsertionPT,true
9,DepressionPT,SocialWithdraw,true
10,ResponsivenessToTreatment,ParanoidDelusionsPT,true
11,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
12,ProblematicLifeEvents,Stress,true
13,HazardousDrinkingPT,SubstanceUse,true
14,ComplianceWithSupervision,CriminalAttitude,true
15,SymptomsOfMentalIllness,Anxiety,true
16,PsychiatricTreatmentGivenRFAT,DepressionPT,true
17,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
18,Education,Intelligence,true
19,AnxietyPT,FinancialDifficulties,true
20,LivingCircumstances,DomesticStability,true
21,AggressionDL,ViolentConvictionsRate,true
22,CocainePT,SubstanceUse,true
23,StrangeExperiencesPT,MentalIllnessSymptomCount,true
24,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
25,SymptomsOfMentalIllness,ParanoidDelusions,true
26,CannabisDependence,AnyDrugDependence,true
27,AngerPT,ASPD,true
28,SymptomsOfMentalIllness,ThoughtInsertion,true
29,CriminalNetwork,CriminalAttitude,true
30,AbuseNeglectAsChild,ASPD,true
31,PsychiatricTreatmentGivenRFAT,AnxietyPT,true
32,FinancialDifficulties,Stress,true
33,Education,EmploymentOrTraining,true
34,ViolentConvRateGivenProt,ViolentConvictions,true
35,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
36,Hallucinations,HallucinationsPT,true
37,Intelligence,ResponsivenessToTreatment,true
38,EmploymentOrTraining,FinancialDifficulties,true
39,GangMember,Victimisation,true
40,LivingCircumstances,SocialProtectiveObs,true
41,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
42,Violence,Age,true
43,ViolentThoughts,AggressionDL,true
44,SymptomsOfMentalIllness,StrangeExperiences,true
45,Impulsivity,PCLRfacet3,true
46,CriminalNetwork,NegativeAttitude,true
47,ResponsivenessToTreatment,PCLRfactor1,true
48,SymptomsOfMentalIllness,Depression,true
49,ViolentConvictions,Violence,true
50,AttitudeDL,ViolentConvictionsRate,true
51,EmploymentOrTraining,DomesticStability,true
52,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
53,DepressionPT,MentalIllnessSymptomCount,true
54,DepressionPT,FinancialDifficulties,true
55,CriminalAttitude,AttitudeDL,true
56,SymptomsOfMentalIllness,Hallucinations,true
57,ResponsivenessToTreatment,DepressionPT,true
58,ParanoidDelusions,ParanoidDelusionsPT,true
59,ResponseToTreatGivenDrugDep,CocainePT,true
60,CocaineAfterRelease,CocainePT,true
61,CriminalNetwork,GangMember,true
62,Violence,PriorViolentConvictions,true
63,CannabisAfterRelease,CannabisPT,true
64,HallucinationsPT,MentalIllnessSymptomCount,true
65,ViolentConvictionsRate,ViolentConvRateGivenProt,true
66,LivingCircumstances,CriminalNetwork,true
67,ASPD,Impulsivity,true
68,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
69,SubstanceUse,AnxietyPT,false
70,CriminalAttitude,Education,false
71,ResponseToTreatGivenDrugDep,EcstasyDependence,false
72,AbilityToCope,SubstanceMisuseDL,false
73,DepressionPT,AlcoholDependence,false
74,ComplianceWithSupervision,AlcoholDependence,false
75,Age,PriorViolentConvictions,false
