ID,Parent,Child,TrueOrFalse
0,CannabisBeforePrisonSentence,CannabisAfterRelease,true
1,CannabisDuringPrisonSentence,CannabisAfterRelease,true
2,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
3,CocainePT,SubstanceUse,true
4,ViolentConvictions,Violence,true
5,SocialWithdraw,DomesticStability,true
6,Impulsivity,AggressionDL,true
7,DepressionPT,MentalIllnessSymptomCount,true
8,GangMember,NegativeAttitude,true
9,AngerManagementGivenRFAT,AngerPT,true
10,AnxietyPT,FinancialDifficulties,true
11,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
12,SocialProtectiveObs,ViolentConvRateGivenProt,true
13,Impulsivity,PCLRfacet3,true
14,Anxiety,AnxietyPT,true
15,AnyDrugDependence,ResponseToTreatGivenDrugDep,true
16,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
17,AggressionDL,ViolentConvictionsRate,true
18,CocaineDuringPrisonSentence,CocaineDependence,true
19,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
20,CocaineDuringPrisonSentence,CocaineAfterRelease,true
21,DrugTreatmentGivenRFAT,CocainePT,true
22,PsychiatricTreatmentGivenRFAT,AnxietyPT,true
23,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
24,EcstasyBeforePrisonSentence,EcstasyDuringPrisonSentence,true
25,Violence,Gender,true
26,Victimisation,ProblematicLifeEvents,true
27,RefuseFailToAttendTherapy,AngerManagementGivenRFAT,true
28,CocaineDependence,pclrscore,false
29,RefuseFailToAttendTherapy,AbilityToCope,false
30,Stress,Depression,false
31,AnxietyPT,Anxiety,false
32,ResponseToTreatGivenAlcDep,ProblematicLifeEvents,false
33,AnxietyPT,CannabisDuringPrisonSentence,false
34,GangMember,ViolentThoughts,false
35,SocialProtectiveObs,CocaineDuringPrisonSentence,false
36,AggressionDL,DrugTreatmentGivenRFAT,false
37,EmploymentOrTraining,AnxietyPT,false
38,ViolentConvictions,StrangeExperiencesPT,false
39,ASPD,ResponseToTreatGivenAlcDep,false
40,EcstasyPT,ViolentConvictions,false
41,AttitudeDL,StrangeExperiencesPT,false
42,ParanoidDelusionsPT,CocainePT,false
43,ResponseToTreatGivenDrugDep,EcstasyDuringPrisonSentence,false
44,AngerManagementGivenRFAT,CriminalAttitude,false
45,EcstasyAfterRelease,CriminalFamilyBackground,false
46,PsychiatricTreatmentGivenRFAT,HazardousDrinkingPT,false
47,AnyDrugDependence,PCLRfactor1,false
48,SymptomsOfMentalIllness,ViolentConvictions,false
49,CocaineBeforePrisonSentence,AnxietyPT,false
50,RefuseFailToAttendTherapy,ViolentConvRateGivenProt,false
51,Intelligence,CannabisBeforePrisonSentence,false
52,AnyDrugDependence,CocaineAfterRelease,false
53,HallucinationsPT,ThoughtInsertionPT,false
54,PCLRfacet3,ThoughtInsertion,false
55,StrangeExperiences,AbilityToCope,false
56,RefuseFailToAttendTherapy,AnxietyPT,false
57,CriminalAttitude,PCLRfactor2,false
58,ResponseToTreatGivenAlcDep,StrangeExperiencesPT,false
59,CocainePT,HallucinationsPT,false
60,SubstanceUse,CannabisDependence,false
61,CocaineBeforePrisonSentence,ThoughtInsertionPT,false
62,CannabisDuringPrisonSentence,Education,false
63,LivingCircumstances,CocaineBeforePrisonSentence,false
64,ThoughtInsertion,StrangeExperiencesPT,false
65,StrangeExperiencesPT,CriminalFamilyBackground,false
66,AnyDrugDependence,SocialProtectiveObs,false
67,ParanoidDelusionsPT,ViolentThoughts,false
68,TimeAtRisk,AngerManagementGivenRFAT,false
69,prioracq,AbuseNeglectAsChild,false
70,Impulsivity,CannabisPT,false
71,PsychiatricTreatmentGivenRFAT,AngerPT,false
72,CannabisPT,RefuseFailToAttendTherapy,false
73,Education,pclrscore,false
74,StrangeExperiencesPT,EcstasyAfterRelease,false
75,SocialProtectiveObs,ResponseToTreatGivenDrugDep,false
76,ThoughtInsertion,EcstasyDependence,false
77,StrangeExperiencesPT,Violence,false
78,SubstanceMisuseDL,SymptomsOfMentalIllness,false
79,EcstasyAfterRelease,EmploymentOrTraining,false
80,CocaineDuringPrisonSentence,pclrscore,false
81,AlcoholTreatment,PsychiatricTreatment,false
82,FinancialDifficulties,DrugTreatment,false
83,SubstanceMisuseDL,AbuseNeglectAsChild,false
