ID,Parent,Child,TrueOrFalse
0,ResponseToTreatGivenDrugDep,EcstasyPT,true
1,EcstasyAfterRelease,EcstasyPT,true
2,EcstasyPT,SubstanceUse,true
3,ResponsivenessToTreatment,ParanoidDelusionsPT,true
4,ASPD,PCLRfactor2,true
5,LivingCircumstances,DomesticStability,true
6,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
7,SymptomsOfMentalIllness,Anxiety,true
8,GangMember,NegativeAttitude,true
9,AngerPT,ViolentThoughts,true
10,BPD,Impulsivity,true
11,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
12,SymptomsOfMentalIllness,ParanoidDelusions,true
13,EmploymentOrTraining,DomesticStability,true
14,ParanoidDelusions,ParanoidDelusionsPT,true
15,CannabisDependence,AnyDrugDependence,true
16,DrugTreatmentGivenRFAT,CocainePT,true
17,AngerManagement,AngerManagementGivenRFAT,true
18,DrugTreatmentGivenRFAT,EcstasyPT,true
19,CocaineDuringPrisonSentence,CocaineAfterRelease,true
20,PsychiatricTreatmentGivenRFAT,AnxietyPT,true
21,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
22,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
23,Anger,AngerPT,true
24,ResponsivenessToTreatment,StrangeExperiencesPT,true
25,LivingCircumstances,SocialWithdraw,true
26,Impulsivity,PCLRfacet3,true
27,AggressionDL,ViolentConvictionsRate,true
28,ASPD,Impulsivity,true
29,CriminalFamilyBackground,CriminalNetwork,true
30,CocaineDuringPrisonSentence,CocaineDependence,true
31,CriminalNetwork,GangMember,true
32,CriminalNetwork,NegativeAttitude,true
33,LivingCircumstances,CriminalNetwork,true
34,ResponsivenessToTreatment,HallucinationsPT,true
35,CannabisDuringPrisonSentence,CannabisAfterRelease,true
36,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
37,AnxietyPT,FinancialDifficulties,true
38,MentalIllnessDL,ViolentConvictionsRate,true
39,Intelligence,AbilityToCope,true
40,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
41,AlcoholDependence,ResponseToTreatGivenAlcDep,true
42,Violence,PriorViolentConvictions,true
43,CocaineBeforePrisonSentence,CocaineAfterRelease,true
44,NegativeAttitude,AttitudeDL,true
45,SocialWithdraw,DomesticStability,true
46,ResponsivenessToTreatment,DepressionPT,true
47,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
48,SymptomsOfMentalIllness,StrangeExperiences,true
49,Anxiety,AnxietyPT,true
50,CocaineDependence,AnyDrugDependence,true
51,Depression,DepressionPT,true
52,SocialWithdraw,SocialProtectiveObs,true
53,SubstanceUse,SubstanceMisuseDL,true
54,EcstasyDuringPrisonSentence,EcstasyDependence,true
55,DrugTreatment,DrugTreatmentGivenRFAT,true
56,ComplianceWithSupervision,NegativeAttitude,true
