ID,Parent,Child,TrueOrFalse
0,AggressionDL,ViolentConvictionsRate,true
1,DepressionPT,FinancialDifficulties,true
2,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
3,Violence,Age,true
4,ResponsivenessToTreatment,HallucinationsPT,true
5,Violence,pclrscore,true
6,StrangeExperiencesPT,MentalIllnessSymptomCount,true
7,RefuseFailToAttendTherapy,DrugTreatmentGivenRFAT,true
8,FinancialDifficulties,Stress,true
9,DepressionPT,MentalIllnessSymptomCount,true
10,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
11,ComplianceWithSupervision,NegativeAttitude,true
12,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
13,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
14,CocaineDuringPrisonSentence,CocaineAfterRelease,true
15,LivingCircumstances,DomesticStability,true
16,Violence,PriorViolentConvictions,true
17,SymptomsOfMentalIllness,Anxiety,true
18,ResponsivenessToTreatment,StrangeExperiencesPT,true
19,ThoughtInsertionPT,MentalIllnessSymptomCount,true
20,AngerPT,ASPD,true
21,RefuseFailToAttendTherapy,PsychiatricTreatmentGivenRFAT,true
22,AngerPT,ViolentThoughts,true
23,EcstasyAfterRelease,EcstasyPT,true
24,ResponsivenessToTreatment,DepressionPT,true
25,MentalIllnessDL,ViolentConvictionsRate,true
26,ViolentConvictionsRate,ViolentConvRateGivenProt,true
27,SymptomsOfMentalIllness,ParanoidDelusions,true
28,AlcoholTreatmentGivenRFAT,CannabisBeforePrisonSentence,false
29,DepressionPT,CriminalNetwork,false
30,DrugTreatment,prioracq,false
31,ResponseToTreatGivenDrugDep,PsychiatricTreatmentGivenRFAT,false
32,EcstasyDuringPrisonSentence,Age,false
33,Violence,CocaineDuringPrisonSentence,false
34,CocaineDependence,CriminalFamilyBackground,false
35,CriminalAttitude,EcstasyPT,false
36,CocaineAfterRelease,DrugTreatmentGivenRFAT,false
37,AngerPT,ResponseToTreatGivenAlcDep,false
38,SubstanceMisuseDL,CannabisDependence,false
39,EcstasyPT,ThoughtInsertion,false
40,EcstasyDuringPrisonSentence,EcstasyPT,false
41,PCLRfacet3,ParanoidDelusions,false
42,PCLRfacet3,DomesticStability,false
43,Age,StrangeExperiencesPT,false
44,ComplianceWithSupervision,CocainePT,false
45,DrugTreatment,PsychiatricTreatmentGivenRFAT,false
46,NegativeAttitude,DomesticStability,false
47,CocaineDuringPrisonSentence,Intelligence,false
48,DrugTreatmentGivenRFAT,EcstasyBeforePrisonSentence,false
49,HallucinationsPT,DrugTreatmentGivenRFAT,false
50,CannabisDependence,AttitudeDL,false
51,AbilityToCope,ResponsivenessToTreatment,false
52,DrugTreatment,Education,false
53,StrangeExperiences,HazardousDrinkingPT,false
54,pclrscore,DepressionPT,false
55,Impulsivity,CocainePT,false
