ID,Parent,Child,TrueOrFalse
0,DepressionPT,FinancialDifficulties,true
1,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
2,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
3,Intelligence,ResponsivenessToTreatment,true
4,LivingCircumstances,SocialWithdraw,true
5,EcstasyDependence,AnyDrugDependence,true
6,CocaineDependence,AnyDrugDependence,true
7,AlcoholDependence,ResponseToTreatGivenAlcDep,true
8,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
9,PsychiatricTreatmentGivenRFAT,DepressionPT,true
10,ResponsivenessToTreatment,HallucinationsPT,true
11,BPD,Impulsivity,true
12,Intelligence,AbilityToCope,true
13,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
14,CocainePT,SubstanceUse,true
15,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
16,ViolentConvictionsRate,ViolentConvRateGivenProt,true
17,ResponseToTreatGivenDrugDep,CannabisPT,true
18,SubstanceMisuseDL,ViolentConvictionsRate,true
19,Violence,PriorViolentConvictions,true
20,CocaineBeforePrisonSentence,CocaineAfterRelease,true
21,NegativeAttitude,AttitudeDL,true
22,SocialWithdraw,DomesticStability,true
23,ResponsivenessToTreatment,DepressionPT,true
24,LivingCircumstances,CriminalNetwork,true
25,SymptomsOfMentalIllness,StrangeExperiences,true
26,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
27,AngerManagement,AngerManagementGivenRFAT,true
28,PCLRfacet3,AngerManagementGivenRFAT,false
29,HazardousDrinkingAfterRelease,SocialProtectiveObs,false
30,MentalIllnessSymptomCount,ViolentConvictionsRate,false
31,ThoughtInsertion,CannabisAfterRelease,false
32,PCLRfactor1,EcstasyPT,false
33,EcstasyDuringPrisonSentence,Education,false
34,CannabisDuringPrisonSentence,ThoughtInsertionPT,false
35,prioracq,PCLRfactor2,false
36,AggressionDL,CocaineDuringPrisonSentence,false
37,AngerManagementGivenRFAT,ViolentThoughts,false
38,CocaineAfterRelease,StrangeExperiencesPT,false
39,EcstasyDependence,SymptomsOfMentalIllness,false
40,ViolentConvictions,Hallucinations,false
41,EcstasyDependence,PsychiatricTreatmentGivenRFAT,false
42,Anxiety,PCLRfacet3,false
43,pclrscore,MentalIllnessSymptomCount,false
44,EcstasyPT,CannabisDuringPrisonSentence,false
45,HazardousDrinkingAfterRelease,Stress,false
46,ViolentConvictionsRate,Stress,false
47,PCLRfacet3,RefuseFailToAttendTherapy,false
48,PsychiatricTreatmentGivenRFAT,ThoughtInsertion,false
49,SubstanceMisuseDL,EcstasyAfterRelease,false
50,PCLRfactor2,PCLRfactor1,false
51,ComplianceWithSupervision,ViolentConvictionsRate,false
52,LivingCircumstances,DepressionPT,false
53,AnyDrugDependence,AttitudeDL,false
54,CriminalFamilyBackground,PCLRfacet3,false
55,SymptomsOfMentalIllness,CocainePT,false
