ID,Parent,Child,TrueOrFalse
0,FinancialDifficulties,LivingCircumstances,true
1,CocainePT,SubstanceUse,true
2,SymptomsOfMentalIllness,Anxiety,true
3,Violence,prioracq,true
4,ResponseToTreatGivenDrugDep,EcstasyPT,true
5,Impulsivity,PCLRfacet3,true
6,DepressionPT,FinancialDifficulties,true
7,StrangeExperiencesPT,MentalIllnessSymptomCount,true
8,ParanoidDelusions,ParanoidDelusionsPT,true
9,EcstasyBeforePrisonSentence,EcstasyAfterRelease,true
10,DrugTreatmentGivenRFAT,EcstasyPT,true
11,MentalIllnessSymptomCount,MentalIllnessDL,true
12,ViolentThoughts,AggressionDL,true
13,AbuseNeglectAsChild,BPD,true
14,AngerManagementGivenRFAT,ComplianceWithSupervision,false
15,ParanoidDelusions,SocialWithdraw,false
16,HazardousDrinkingPT,EcstasyPT,false
17,PsychiatricTreatmentGivenRFAT,RefuseFailToAttendTherapy,false
18,Intelligence,DrugTreatment,false
19,SocialWithdraw,AttitudeDL,false
20,CocaineDependence,EcstasyPT,false
21,AngerManagement,CannabisAfterRelease,false
22,PsychiatricTreatmentGivenRFAT,ThoughtInsertion,false
23,CocaineDuringPrisonSentence,PCLRfacet3,false
24,CocaineBeforePrisonSentence,ComplianceWithSupervision,false
25,ViolentThoughts,Victimisation,false
26,PsychiatricTreatment,ResponseToTreatGivenDrugDep,false
27,AbilityToCope,CriminalNetwork,false
