ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,MINVOL
2,VENTLUNG,->,HISTORY
3,VENTLUNG,->,VENTALV
4,MINVOLSET,->,VENTMACH
5,DISCONNECT,->,PVSAT
6,DISCONNECT,->,ANAPHYLAXIS
7,DISCONNECT,->,INTUBATION
8,VENTMACH,->,LVFAILURE
9,VENTMACH,->,VENTTUBE
10,PRESS,->,TPR
11,FIO2,->,PVSAT
12,PVSAT,->,ERRLOWOUTPUT
13,PVSAT,->,SAO2
14,EXPCO2,->,CO
15,HREKG,->,ERRCAUTER
16,HREKG,->,HRSAT
17,HRBP,->,HR
18,HRBP,->,INSUFFANESTH
19,ERRLOWOUTPUT,->,HRBP
20,MINVOL,->,BP
21,KINKEDTUBE,->,PRESS
22,KINKEDTUBE,->,PAP
23,KINKEDTUBE,->,BP
24,STROKEVOLUME,->,HISTORY
25,STROKEVOLUME,->,CO
26,STROKEVOLUME,->,BP
27,LVFAILURE,->,PRESS
28,LVFAILURE,->,LVEDVOLUME
29,LVFAILURE,->,HISTORY
30,LVEDVOLUME,->,HYPOVOLEMIA
31,LVEDVOLUME,->,PCWP
32,LVEDVOLUME,->,CVP
33,HYPOVOLEMIA,->,FIO2
34,HYPOVOLEMIA,->,STROKEVOLUME
35,HYPOVOLEMIA,->,CO
36,ANAPHYLAXIS,->,TPR
37,PAP,->,FIO2
38,PAP,->,CATECHOL
39,INTUBATION,->,SHUNT
40,VENTTUBE,->,VENTLUNG
41,VENTTUBE,->,DISCONNECT
42,VENTALV,->,EXPCO2
43,VENTALV,->,ARTCO2
44,ARTCO2,->,CATECHOL
45,ARTCO2,->,TPR
46,HR,->,HREKG
47,HR,->,CATECHOL
48,HR,->,CO
49,TPR,->,CATECHOL
50,TPR,->,BP
51,INSUFFANESTH,->,CATECHOL
52,SHUNT,->,PULMEMBOLUS
53,PULMEMBOLUS,->,PAP
54,CVP,->,PVSAT
55,CVP,->,TPR
56,SAO2,->,PRESS
57,SAO2,->,CATECHOL
58,SAO2,->,BP
