ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,DISCONNECT
2,VENTLUNG,->,EXPCO2
3,VENTLUNG,->,MINVOL
4,VENTLUNG,->,PCWP
5,DISCONNECT,->,HRSAT
6,VENTMACH,->,MINVOLSET
7,PRESS,->,HISTORY
8,PRESS,->,VENTTUBE
9,PVSAT,->,VENTALV
10,HREKG,->,ERRCAUTER
11,ERRLOWOUTPUT,->,FIO2
12,ERRLOWOUTPUT,->,HRBP
13,ERRLOWOUTPUT,->,INTUBATION
14,MINVOL,->,VENTMACH
15,KINKEDTUBE,->,VENTMACH
16,STROKEVOLUME,->,PVSAT
17,STROKEVOLUME,->,CO
18,LVFAILURE,->,HISTORY
19,LVFAILURE,->,SHUNT
20,LVEDVOLUME,->,STROKEVOLUME
21,LVEDVOLUME,->,LVFAILURE
22,LVEDVOLUME,->,PCWP
23,HYPOVOLEMIA,->,ERRLOWOUTPUT
24,HYPOVOLEMIA,->,LVEDVOLUME
25,HRSAT,->,HREKG
26,HISTORY,->,CO
27,ANAPHYLAXIS,->,TPR
28,PAP,->,ANAPHYLAXIS
29,INTUBATION,->,VENTLUNG
30,INTUBATION,->,ERRCAUTER
31,INTUBATION,->,MINVOL
32,INTUBATION,->,PAP
33,INTUBATION,->,SHUNT
34,VENTTUBE,->,VENTLUNG
35,VENTTUBE,->,VENTMACH
36,VENTTUBE,->,BP
37,VENTTUBE,->,CVP
38,VENTALV,->,EXPCO2
39,VENTALV,->,ARTCO2
40,CATECHOL,->,ARTCO2
41,CATECHOL,->,INSUFFANESTH
42,ARTCO2,->,MINVOLSET
43,HR,->,HRBP
44,HR,->,HRSAT
45,HR,->,CATECHOL
46,CO,->,HR
47,CO,->,BP
48,TPR,->,CATECHOL
49,TPR,->,BP
50,TPR,->,SAO2
51,SHUNT,->,KINKEDTUBE
52,CVP,->,LVEDVOLUME
53,CVP,->,HISTORY
54,SAO2,->,PRESS
55,SAO2,->,PVSAT
