ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,MINVOL
2,MINVOLSET,->,VENTMACH
3,VENTMACH,->,VENTLUNG
4,VENTMACH,->,FIO2
5,VENTMACH,->,EXPCO2
6,VENTMACH,->,VENTALV
7,PRESS,->,ERRLOWOUTPUT
8,PRESS,->,KINKEDTUBE
9,PRESS,->,PAP
10,PRESS,->,VENTTUBE
11,PRESS,->,SAO2
12,FIO2,->,PVSAT
13,FIO2,->,BP
14,ERRCAUTER,->,EXPCO2
15,HRBP,->,MINVOLSET
16,HRBP,->,ERRLOWOUTPUT
17,STROKEVOLUME,->,INSUFFANESTH
18,STROKEVOLUME,->,CVP
19,LVEDVOLUME,->,HYPOVOLEMIA
20,LVEDVOLUME,->,CVP
21,HYPOVOLEMIA,->,CATECHOL
22,HRSAT,->,HREKG
23,HRSAT,->,ERRCAUTER
24,PAP,->,HYPOVOLEMIA
25,PAP,->,HR
26,VENTTUBE,->,VENTLUNG
27,VENTALV,->,ARTCO2
28,CATECHOL,->,PVSAT
29,CATECHOL,->,KINKEDTUBE
30,ARTCO2,->,EXPCO2
31,HR,->,HRBP
32,HR,->,HRSAT
33,HR,->,INSUFFANESTH
34,CO,->,MINVOL
35,CO,->,STROKEVOLUME
36,CO,->,HR
37,CO,->,BP
38,CO,->,PCWP
39,TPR,->,BP
40,PCWP,->,LVEDVOLUME
41,PCWP,->,ARTCO2
42,PCWP,->,TPR
43,INSUFFANESTH,->,CATECHOL
44,SAO2,->,CATECHOL
45,SAO2,->,PCWP
