ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,PVSAT
2,VENTLUNG,->,EXPCO2
3,VENTLUNG,->,MINVOL
4,VENTLUNG,->,VENTALV
5,VENTMACH,->,MINVOLSET
6,VENTMACH,->,VENTTUBE
7,PRESS,->,INTUBATION
8,PRESS,->,VENTTUBE
9,PRESS,->,PULMEMBOLUS
10,FIO2,->,PVSAT
11,PVSAT,->,SAO2
12,HREKG,->,VENTTUBE
13,ERRLOWOUTPUT,->,HRBP
14,KINKEDTUBE,->,PRESS
15,STROKEVOLUME,->,CO
16,LVFAILURE,->,STROKEVOLUME
17,LVFAILURE,->,LVEDVOLUME
18,LVFAILURE,->,ANAPHYLAXIS
19,LVEDVOLUME,->,HYPOVOLEMIA
20,LVEDVOLUME,->,VENTTUBE
21,LVEDVOLUME,->,PCWP
22,LVEDVOLUME,->,CVP
23,HYPOVOLEMIA,->,STROKEVOLUME
24,HRSAT,->,HREKG
25,HRSAT,->,ERRCAUTER
26,HISTORY,->,LVFAILURE
27,PAP,->,INTUBATION
28,PAP,->,INSUFFANESTH
29,INTUBATION,->,SHUNT
30,VENTTUBE,->,VENTLUNG
31,VENTTUBE,->,DISCONNECT
32,VENTALV,->,PVSAT
33,VENTALV,->,ARTCO2
34,CATECHOL,->,TPR
35,HR,->,HRBP
36,HR,->,HRSAT
37,HR,->,CATECHOL
38,CO,->,KINKEDTUBE
39,CO,->,ANAPHYLAXIS
40,CO,->,HR
41,CO,->,BP
42,TPR,->,ANAPHYLAXIS
43,TPR,->,BP
44,TPR,->,PULMEMBOLUS
45,INSUFFANESTH,->,KINKEDTUBE
46,CVP,->,PVSAT
