ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,MINVOLSET,->,VENTMACH
3,VENTMACH,->,VENTTUBE
4,VENTMACH,->,PULMEMBOLUS
5,PRESS,->,ANAPHYLAXIS
6,PVSAT,->,HYPOVOLEMIA
7,PVSAT,->,INSUFFANESTH
8,PVSAT,->,SAO2
9,EXPCO2,->,ERRCAUTER
10,EXPCO2,->,BP
11,HREKG,->,HRSAT
12,ERRCAUTER,->,HREKG
13,ERRLOWOUTPUT,->,HR
14,KINKEDTUBE,->,PRESS
15,STROKEVOLUME,->,CO
16,LVFAILURE,->,STROKEVOLUME
17,LVFAILURE,->,HISTORY
18,LVEDVOLUME,->,VENTLUNG
19,LVEDVOLUME,->,LVFAILURE
20,LVEDVOLUME,->,PCWP
21,LVEDVOLUME,->,CVP
22,HYPOVOLEMIA,->,ERRCAUTER
23,HYPOVOLEMIA,->,LVEDVOLUME
24,HYPOVOLEMIA,->,ANAPHYLAXIS
25,ANAPHYLAXIS,->,PAP
26,ANAPHYLAXIS,->,TPR
27,INTUBATION,->,SHUNT
28,VENTTUBE,->,DISCONNECT
29,VENTTUBE,->,PRESS
30,VENTTUBE,->,FIO2
31,VENTTUBE,->,TPR
32,VENTALV,->,PVSAT
33,VENTALV,->,MINVOL
34,VENTALV,->,INTUBATION
35,VENTALV,->,ARTCO2
36,HR,->,HREKG
37,HR,->,HRBP
38,HR,->,KINKEDTUBE
39,HR,->,PAP
40,HR,->,CATECHOL
41,HR,->,CO
42,HR,->,BP
43,BP,->,PVSAT
44,BP,->,TPR
45,INSUFFANESTH,->,ANAPHYLAXIS
46,PULMEMBOLUS,->,PAP
47,SAO2,->,PRESS
48,SAO2,->,TPR
