ID,Variable1,Dependency,Variable2
1,MINVOLSET,->,VENTMACH
2,DISCONNECT,->,STROKEVOLUME
3,DISCONNECT,->,VENTTUBE
4,FIO2,->,MINVOLSET
5,EXPCO2,->,ARTCO2
6,EXPCO2,->,CO
7,HREKG,->,ERRCAUTER
8,ERRCAUTER,->,MINVOLSET
9,HRBP,->,HR
10,MINVOL,->,VENTLUNG
11,MINVOL,->,EXPCO2
12,MINVOL,->,VENTALV
13,STROKEVOLUME,->,FIO2
14,STROKEVOLUME,->,CO
15,LVEDVOLUME,->,PRESS
16,LVEDVOLUME,->,HYPOVOLEMIA
17,LVEDVOLUME,->,PCWP
18,HYPOVOLEMIA,->,PCWP
19,HRSAT,->,HREKG
20,PAP,->,MINVOL
21,VENTTUBE,->,VENTMACH
22,VENTTUBE,->,PRESS
23,VENTTUBE,->,ARTCO2
24,VENTALV,->,SHUNT
25,CATECHOL,->,DISCONNECT
26,CATECHOL,->,FIO2
27,CATECHOL,->,LVFAILURE
28,CATECHOL,->,HYPOVOLEMIA
29,HR,->,VENTMACH
30,HR,->,HRSAT
31,HR,->,CATECHOL
32,HR,->,CO
33,CO,->,BP
34,TPR,->,PRESS
35,TPR,->,PAP
36,TPR,->,BP
37,TPR,->,SAO2
38,SHUNT,->,ERRCAUTER
39,CVP,->,LVEDVOLUME
40,CVP,->,INSUFFANESTH
41,CVP,->,SHUNT
42,SAO2,->,CATECHOL
