ID,Variable1,Variable2,TrueOrFalse
0,otherPropertyExpenses,propertyExpenses,true
1,incomeTax,rentalNetProfitBeforeInterest,true
2,capitalGrowth,capitalGains,true
3,actualRentalIncome,rentalGrossYield,true
4,otherInterestFees,interest,true
5,rentalGrowth,rentalIncomeT+1,true
6,propertyManagement,propertyExpensesGrowth,false
7,rentalGrossProfit,rentalIncomeLoss%,false
8,capitalGrowth,propertyExpenses,false
9,rentalIncome,propertyPurchaseValue,false
10,rentalIncome,interestTaxRelief,false
11,propertyExpensesGrowth,interest,false
