ID,Variable1,Variable2,TrueOrFalse
0,interestRate,interest,true
1,actualRentalIncome,rentalIncomeT+1,true
2,otherPropertyExpenses,otherPropertyExpensesT+1,true
3,rentalGrowth,rentalIncomeT+1,true
4,rentalNetProfitBeforeInterest,netProfit,true
5,capitalGains,propertyValueT+1,true
6,propertyPurchaseValue,actualRentalIncome,false
7,rentalIncomeLoss%,capitalGains,false
8,propertyManagement,rentalNetProfitBeforeInterest,false
9,otherPropertyExpensesT+1,propertyPurchaseValue,false
10,otherPropertyExpenses,rentalIncome,false
11,LTV,stampDutyTax,false
