ID,Variable1,Dependency,Variable2
1,AbilityToCope,->,CriminalNetwork
2,ViolentThoughts,->,CriminalFamilyBackground
3,Impulsivity,->,AbilityToCope
4,Impulsivity,->,AggressionDL
5,ASPD,->,PCLRfacet3
6,ASPD,->,Impulsivity
7,ASPD,->,PCLRfactor2
8,ASPD,->,CocaineDependence
9,EmploymentOrTraining,->,CocaineBeforePrisonSentence
10,NegativeAttitude,->,AttitudeDL
11,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
12,HazardousDrinkingAfterRelease,->,AlcoholDependence
13,HazardousDrinkingAfterRelease,->,SubstanceUse
14,HazardousDrinkingAfterRelease,->,HazardousDrinkingPT
15,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
16,CannabisDuringPrisonSentence,->,ThoughtInsertion
17,CocaineAfterRelease,->,TimeAtRisk
18,CocaineAfterRelease,->,EmploymentOrTraining
19,EcstasyAfterRelease,->,NegativeAttitude
20,EcstasyAfterRelease,->,EcstasyBeforePrisonSentence
21,AnyDrugDependence,->,BPD
22,AnyDrugDependence,->,CocaineDuringPrisonSentence
23,AnyDrugDependence,->,EcstasyDependence
24,CannabisDependence,->,AnyDrugDependence
25,CocaineDependence,->,CocaineBeforePrisonSentence
26,CocaineDependence,->,AnyDrugDependence
27,DrugTreatment,->,DrugTreatmentGivenRFAT
28,AlcoholTreatmentGivenRFAT,->,AlcoholTreatment
29,DrugTreatmentGivenRFAT,->,RefuseFailToAttendTherapy
30,DrugTreatmentGivenRFAT,->,EcstasyPT
31,EcstasyPT,->,EcstasyAfterRelease
32,CannabisPT,->,CannabisAfterRelease
33,CocainePT,->,CocaineAfterRelease
34,SubstanceUse,->,SubstanceMisuseDL
35,Violence,->,CannabisBeforePrisonSentence
36,Violence,->,ViolentConvictions
37,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
38,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
39,Anger,->,AngerPT
40,AngerManagementGivenRFAT,->,BPD
41,AngerManagementGivenRFAT,->,AngerManagement
42,AttitudeDL,->,GangMember
43,AttitudeDL,->,ComplianceWithSupervision
44,AttitudeDL,->,CriminalAttitude
45,SocialWithdraw,->,Stress
46,SocialWithdraw,->,ProblematicLifeEvents
47,SocialWithdraw,->,DomesticStability
48,SocialWithdraw,->,SocialProtectiveObs
49,ViolentConvictionsRate,->,ViolentConvRateGivenProt
50,Depression,->,Victimisation
51,Depression,->,DepressionPT
52,Anxiety,->,AnxietyPT
53,AnxietyPT,->,AbuseNeglectAsChild
54,AnxietyPT,->,MentalIllnessSymptomCount
55,ThoughtInsertion,->,pclrscore
56,ThoughtInsertion,->,ThoughtInsertionPT
57,ThoughtInsertionPT,->,FinancialDifficulties
58,Hallucinations,->,SymptomsOfMentalIllness
59,HallucinationsPT,->,Anger
60,HallucinationsPT,->,Hallucinations
61,StrangeExperiences,->,Gender
62,StrangeExperiences,->,StrangeExperiencesPT
63,StrangeExperiencesPT,->,FinancialDifficulties
64,ParanoidDelusionsPT,->,ParanoidDelusions
65,PsychiatricTreatment,->,EcstasyDuringPrisonSentence
66,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
67,PsychiatricTreatmentGivenRFAT,->,ThoughtInsertionPT
68,MentalIllnessSymptomCount,->,ParanoidDelusionsPT
69,MentalIllnessSymptomCount,->,MentalIllnessDL
