ID,Variable1,Dependency,Variable2
1,ProblematicLifeEvents,->,DrugTreatmentGivenRFAT
2,AbuseNeglectAsChild,->,GangMember
3,PCLRfactor2,->,ASPD
4,CriminalNetwork,->,PCLRfactor1
5,TimeAtRisk,->,FinancialDifficulties
6,CriminalFamilyBackground,->,CocaineBeforePrisonSentence
7,EmploymentOrTraining,->,ViolentThoughts
8,EmploymentOrTraining,->,CocaineDependence
9,FinancialDifficulties,->,CriminalAttitude
10,FinancialDifficulties,->,CocaineDuringPrisonSentence
11,NegativeAttitude,->,AttitudeDL
12,SymptomsOfMentalIllness,->,AlcoholDependence
13,SymptomsOfMentalIllness,->,ParanoidDelusions
14,RefuseFailToAttendTherapy,->,GangMember
15,RefuseFailToAttendTherapy,->,ComplianceWithSupervision
16,RefuseFailToAttendTherapy,->,PsychiatricTreatment
17,HazardousDrinkingAfterRelease,->,AbilityToCope
18,HazardousDrinkingAfterRelease,->,Stress
19,HazardousDrinkingAfterRelease,->,SubstanceUse
20,CocaineBeforePrisonSentence,->,CriminalNetwork
21,CocaineBeforePrisonSentence,->,pclrscore
22,EcstasyBeforePrisonSentence,->,EmploymentOrTraining
23,EcstasyDuringPrisonSentence,->,CocaineAfterRelease
24,EcstasyDuringPrisonSentence,->,EcstasyAfterRelease
25,EcstasyDuringPrisonSentence,->,StrangeExperiencesPT
26,CannabisDuringPrisonSentence,->,CannabisDependence
27,CannabisAfterRelease,->,CriminalAttitude
28,CannabisAfterRelease,->,CannabisPT
29,CocaineAfterRelease,->,CocainePT
30,EcstasyAfterRelease,->,EcstasyPT
31,EcstasyDependence,->,AnyDrugDependence
32,AnyDrugDependence,->,PCLRfactor2
33,CannabisDependence,->,Gender
34,CocaineDependence,->,AnyDrugDependence
35,AlcoholDependence,->,StrangeExperiencesPT
36,DrugTreatment,->,CriminalNetwork
37,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
38,DrugTreatmentGivenRFAT,->,DrugTreatment
39,ViolentConvictions,->,Violence
40,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
41,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
42,ResponseToTreatGivenDrugDep,->,EcstasyBeforePrisonSentence
43,Anger,->,AngerPT
44,AngerManagementGivenRFAT,->,BPD
45,HazardousDrinkingPT,->,HazardousDrinkingAfterRelease
46,AngerManagement,->,AngerManagementGivenRFAT
47,AttitudeDL,->,CriminalFamilyBackground
48,AggressionDL,->,Impulsivity
49,SocialWithdraw,->,PCLRfacet3
50,SocialWithdraw,->,CocaineDuringPrisonSentence
51,SocialWithdraw,->,SocialProtectiveObs
52,ViolentConvictionsRate,->,ViolentConvRateGivenProt
53,ViolentConvRateGivenProt,->,DomesticStability
54,Depression,->,CocaineBeforePrisonSentence
55,Depression,->,LivingCircumstances
56,Depression,->,DepressionPT
57,Anxiety,->,Gender
58,Anxiety,->,AnxietyPT
59,AnxietyPT,->,CannabisBeforePrisonSentence
60,ThoughtInsertion,->,Victimisation
61,ThoughtInsertion,->,ThoughtInsertionPT
62,ThoughtInsertionPT,->,SubstanceMisuseDL
63,HallucinationsPT,->,Hallucinations
64,StrangeExperiencesPT,->,StrangeExperiences
65,ParanoidDelusions,->,ParanoidDelusionsPT
66,ParanoidDelusions,->,MentalIllnessSymptomCount
67,PsychiatricTreatmentGivenRFAT,->,PsychiatricTreatment
68,MentalIllnessSymptomCount,->,AggressionDL
69,MentalIllnessSymptomCount,->,MentalIllnessDL
