ID,Variable1,Dependency,Variable2
1,AbilityToCope,->,Victimisation
2,ProblematicLifeEvents,->,AbuseNeglectAsChild
3,Impulsivity,->,PCLRfacet3
4,Impulsivity,->,BPD
5,AbuseNeglectAsChild,->,CriminalNetwork
6,ASPD,->,Impulsivity
7,ASPD,->,PCLRfactor2
8,NegativeAttitude,->,ComplianceWithSupervision
9,NegativeAttitude,->,AttitudeDL
10,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
11,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
12,HazardousDrinkingAfterRelease,->,prioracq
13,HazardousDrinkingAfterRelease,->,AlcoholDependence
14,HazardousDrinkingAfterRelease,->,SubstanceUse
15,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
16,EcstasyBeforePrisonSentence,->,AbuseNeglectAsChild
17,CocaineDuringPrisonSentence,->,AlcoholTreatmentGivenRFAT
18,CannabisAfterRelease,->,CannabisBeforePrisonSentence
19,CocaineAfterRelease,->,CocaineBeforePrisonSentence
20,CocaineAfterRelease,->,CocainePT
21,EcstasyAfterRelease,->,EcstasyBeforePrisonSentence
22,EcstasyAfterRelease,->,EcstasyPT
23,EcstasyDependence,->,AnyDrugDependence
24,AnyDrugDependence,->,CannabisDuringPrisonSentence
25,CannabisDependence,->,FinancialDifficulties
26,CannabisDependence,->,AnyDrugDependence
27,CocaineDependence,->,AnyDrugDependence
28,AlcoholTreatmentGivenRFAT,->,AlcoholTreatment
29,DrugTreatmentGivenRFAT,->,RefuseFailToAttendTherapy
30,DrugTreatmentGivenRFAT,->,DrugTreatment
31,CannabisPT,->,CannabisAfterRelease
32,CannabisPT,->,SubstanceUse
33,SubstanceMisuseDL,->,HazardousDrinkingPT
34,Violence,->,pclrscore
35,Violence,->,DomesticStability
36,ViolentConvictions,->,Violence
37,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
38,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
39,Anger,->,GangMember
40,Anger,->,AngerPT
41,AngerManagementGivenRFAT,->,EmploymentOrTraining
42,HazardousDrinkingPT,->,HazardousDrinkingAfterRelease
43,AngerManagement,->,BPD
44,AngerManagement,->,AngerManagementGivenRFAT
45,AttitudeDL,->,CriminalAttitude
46,SocialProtectiveObs,->,LivingCircumstances
47,SocialProtectiveObs,->,SocialWithdraw
48,ViolentConvictionsRate,->,AggressionDL
49,ViolentConvictionsRate,->,ViolentConvRateGivenProt
50,DepressionPT,->,Depression
51,Anxiety,->,AnxietyPT
52,ThoughtInsertion,->,NegativeAttitude
53,ThoughtInsertion,->,AlcoholDependence
54,ThoughtInsertion,->,ThoughtInsertionPT
55,ThoughtInsertion,->,MentalIllnessSymptomCount
56,Hallucinations,->,HallucinationsPT
57,StrangeExperiences,->,StrangeExperiencesPT
58,ParanoidDelusions,->,ViolentThoughts
59,ParanoidDelusionsPT,->,ParanoidDelusions
60,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
61,MentalIllnessSymptomCount,->,ParanoidDelusionsPT
62,MentalIllnessSymptomCount,->,MentalIllnessDL
