ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,DISCONNECT,->,VENTTUBE
3,VENTMACH,->,MINVOLSET
4,HREKG,->,ERRCAUTER
5,HREKG,->,HRSAT
6,HRBP,->,PAP
7,HRBP,->,HR
8,ERRLOWOUTPUT,->,HRBP
9,MINVOL,->,VENTALV
10,KINKEDTUBE,->,PRESS
11,LVFAILURE,->,LVEDVOLUME
12,LVFAILURE,->,HISTORY
13,LVEDVOLUME,->,HYPOVOLEMIA
14,LVEDVOLUME,->,PCWP
15,LVEDVOLUME,->,CVP
16,INTUBATION,->,MINVOL
17,VENTTUBE,->,VENTMACH
18,VENTALV,->,VENTLUNG
19,VENTALV,->,ARTCO2
20,HR,->,HREKG
21,HR,->,CO
22,CO,->,STROKEVOLUME
23,BP,->,TPR
24,TPR,->,CATECHOL
25,SHUNT,->,INTUBATION
