ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,MINVOL
3,DISCONNECT,->,VENTTUBE
4,VENTMACH,->,MINVOLSET
5,PRESS,->,KINKEDTUBE
6,HREKG,->,ERRCAUTER
7,HRBP,->,ERRLOWOUTPUT
8,HRBP,->,CATECHOL
9,HRBP,->,HR
10,MINVOL,->,INTUBATION
11,STROKEVOLUME,->,CO
12,STROKEVOLUME,->,BP
13,LVFAILURE,->,LVEDVOLUME
14,LVEDVOLUME,->,PCWP
15,LVEDVOLUME,->,CVP
16,HYPOVOLEMIA,->,STROKEVOLUME
17,HRSAT,->,HREKG
18,HISTORY,->,LVFAILURE
19,ANAPHYLAXIS,->,LVEDVOLUME
20,INTUBATION,->,SHUNT
21,VENTTUBE,->,VENTLUNG
22,VENTTUBE,->,ANAPHYLAXIS
23,ARTCO2,->,VENTALV
24,HR,->,HRSAT
25,HR,->,CO
26,BP,->,TPR
27,PCWP,->,HYPOVOLEMIA
