ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,MINVOLSET
2,VENTLUNG,->,VENTALV
3,MINVOLSET,->,VENTMACH
4,DISCONNECT,->,PRESS
5,VENTMACH,->,VENTTUBE
6,EXPCO2,->,CATECHOL
7,HREKG,->,HRSAT
8,ERRLOWOUTPUT,->,ARTCO2
9,MINVOL,->,VENTLUNG
10,STROKEVOLUME,->,CO
11,LVFAILURE,->,HISTORY
12,LVEDVOLUME,->,LVFAILURE
13,LVEDVOLUME,->,HYPOVOLEMIA
14,HYPOVOLEMIA,->,STROKEVOLUME
15,HRSAT,->,ERRCAUTER
16,INTUBATION,->,MINVOL
17,INTUBATION,->,SHUNT
18,VENTTUBE,->,DISCONNECT
19,VENTALV,->,ARTCO2
20,CATECHOL,->,HR
21,ARTCO2,->,EXPCO2
22,HR,->,HREKG
23,HR,->,HRBP
24,HR,->,CO
25,BP,->,TPR
26,PCWP,->,LVEDVOLUME
27,SHUNT,->,PULMEMBOLUS
28,PULMEMBOLUS,->,PAP
29,CVP,->,PCWP
