ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,LVFAILURE
2,VENTLUNG,->,VENTALV
3,MINVOLSET,->,VENTMACH
4,VENTMACH,->,VENTTUBE
5,EXPCO2,->,VENTLUNG
6,ERRCAUTER,->,HREKG
7,ERRCAUTER,->,HRSAT
8,HRBP,->,ERRLOWOUTPUT
9,HRBP,->,HR
10,STROKEVOLUME,->,HYPOVOLEMIA
11,STROKEVOLUME,->,CO
12,LVEDVOLUME,->,PCWP
13,LVEDVOLUME,->,CVP
14,HYPOVOLEMIA,->,LVEDVOLUME
15,HISTORY,->,DISCONNECT
16,INTUBATION,->,SHUNT
17,VENTALV,->,MINVOL
18,VENTALV,->,INTUBATION
19,VENTALV,->,ARTCO2
20,CATECHOL,->,HRBP
21,ARTCO2,->,MINVOLSET
22,HR,->,HREKG
23,HR,->,HRSAT
24,HR,->,CO
25,BP,->,STROKEVOLUME
26,BP,->,TPR
