ID,Variable1,Variable2,TrueOrFalse
0,SubstanceUse,SubstanceMisuseDL,true
1,AngerPT,ASPD,true
2,EcstasyBeforePrisonSentence,EcstasyDuringPrisonSentence,true
3,CocaineDuringPrisonSentence,CocaineDependence,true
4,AbuseNeglectAsChild,ASPD,true
5,ProblematicLifeEvents,Stress,true
6,Violence,prioracq,true
7,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
8,ResponsivenessToTreatment,HallucinationsPT,true
9,EcstasyAfterRelease,EcstasyPT,true
10,BPD,Impulsivity,true
11,HazardousDrinkingPT,SubstanceUse,true
12,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
13,GangMember,CriminalAttitude,true
14,SymptomsOfMentalIllness,StrangeExperiences,true
15,DepressionPT,MentalIllnessSymptomCount,true
16,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
17,SocialWithdraw,SocialProtectiveObs,true
18,Intelligence,AbilityToCope,true
19,Impulsivity,PCLRfacet3,true
20,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
21,Education,EmploymentOrTraining,true
22,LivingCircumstances,DomesticStability,true
23,CannabisDuringPrisonSentence,CannabisDependence,true
24,SymptomsOfMentalIllness,Anxiety,true
25,EcstasyBeforePrisonSentence,EcstasyAfterRelease,true
26,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
27,NegativeAttitude,AttitudeDL,true
28,ThoughtInsertionPT,Anxiety,false
29,BPD,EcstasyPT,false
30,CannabisBeforePrisonSentence,AttitudeDL,false
31,ResponseToTreatGivenAlcDep,CannabisDependence,false
32,CocainePT,CocaineDependence,false
33,ResponsivenessToTreatment,PriorViolentConvictions,false
34,ThoughtInsertionPT,ProblematicLifeEvents,false
35,Depression,Stress,false
36,MentalIllnessDL,ViolentConvictions,false
37,GangMember,PsychiatricTreatment,false
38,prioracq,HazardousDrinkingPT,false
39,CocaineBeforePrisonSentence,DepressionPT,false
40,PsychiatricTreatment,AttitudeDL,false
41,CannabisDuringPrisonSentence,ViolentThoughts,false
42,HallucinationsPT,Intelligence,false
43,CocainePT,CannabisDuringPrisonSentence,false
44,EcstasyPT,CannabisBeforePrisonSentence,false
45,Anger,MentalIllnessSymptomCount,false
46,PCLRfactor1,CannabisDuringPrisonSentence,false
47,ViolentThoughts,AngerPT,false
48,AlcoholTreatmentGivenRFAT,NegativeAttitude,false
49,AlcoholDependence,SocialWithdraw,false
50,AbuseNeglectAsChild,SubstanceUse,false
51,EcstasyAfterRelease,PCLRfactor1,false
52,AnxietyPT,Victimisation,false
53,pclrscore,SubstanceUse,false
54,Violence,Victimisation,false
55,CannabisDuringPrisonSentence,AttitudeDL,false
