ID,Variable1,Variable2,TrueOrFalse
0,MentalIllnessSymptomCount,MentalIllnessDL,true
1,LivingCircumstances,SocialProtectiveObs,true
2,SymptomsOfMentalIllness,StrangeExperiences,true
3,AbuseNeglectAsChild,BPD,true
4,EmploymentOrTraining,DomesticStability,true
5,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
6,CannabisDuringPrisonSentence,CannabisDependence,true
7,ProblematicLifeEvents,Stress,true
8,Depression,DepressionPT,true
9,SymptomsOfMentalIllness,ThoughtInsertion,true
10,FinancialDifficulties,LivingCircumstances,true
11,GangMember,Victimisation,true
12,LivingCircumstances,CriminalNetwork,true
13,RefuseFailToAttendTherapy,DrugTreatmentGivenRFAT,true
14,Violence,Gender,true
15,SocialWithdraw,SocialProtectiveObs,true
16,ViolentConvRateGivenProt,ViolentConvictions,true
17,ResponsivenessToTreatment,AngerPT,true
18,AbuseNeglectAsChild,ASPD,true
19,AnxietyPT,MentalIllnessSymptomCount,true
20,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
21,CriminalAttitude,AttitudeDL,true
22,Violence,prioracq,true
23,FinancialDifficulties,Stress,true
24,StrangeExperiencesPT,MentalIllnessSymptomCount,true
25,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
26,DepressionPT,MentalIllnessSymptomCount,true
27,BPD,Impulsivity,true
28,ASPD,SocialProtectiveObs,false
29,HazardousDrinkingPT,CriminalNetwork,false
30,EcstasyAfterRelease,Anxiety,false
31,SubstanceMisuseDL,Violence,false
32,RefuseFailToAttendTherapy,CocaineBeforePrisonSentence,false
33,AngerManagementGivenRFAT,ThoughtInsertionPT,false
34,DrugTreatment,CocaineDuringPrisonSentence,false
35,Violence,DrugTreatment,false
36,pclrscore,SocialProtectiveObs,false
37,EcstasyAfterRelease,AlcoholTreatment,false
38,CannabisDuringPrisonSentence,StrangeExperiencesPT,false
39,ResponsivenessToTreatment,Age,false
40,EcstasyPT,PriorViolentConvictions,false
41,AlcoholDependence,ThoughtInsertion,false
42,pclrscore,AngerManagement,false
43,ResponseToTreatGivenDrugDep,HallucinationsPT,false
44,CriminalNetwork,HazardousDrinkingPT,false
45,EcstasyDuringPrisonSentence,CannabisAfterRelease,false
46,TimeAtRisk,AnyDrugDependence,false
47,Stress,ProblematicLifeEvents,false
48,ASPD,PsychiatricTreatment,false
49,CriminalNetwork,EcstasyAfterRelease,false
50,NegativeAttitude,ASPD,false
51,CocaineDuringPrisonSentence,ViolentConvictions,false
52,AggressionDL,DrugTreatmentGivenRFAT,false
53,MentalIllnessSymptomCount,EcstasyDependence,false
54,AlcoholDependence,AttitudeDL,false
55,Intelligence,HallucinationsPT,false
