ID,Variable1,Variable2,TrueOrFalse
0,AngerPT,ASPD,true
1,EmploymentOrTraining,DomesticStability,true
2,CannabisAfterRelease,CannabisPT,true
3,ThoughtInsertionPT,MentalIllnessSymptomCount,true
4,DrugTreatmentGivenRFAT,CannabisPT,true
5,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
6,ViolentConvictions,Violence,true
7,EcstasyAfterRelease,EcstasyPT,true
8,CriminalAttitude,AttitudeDL,true
9,AngerPT,BPD,true
10,ResponseToTreatGivenDrugDep,EcstasyPT,true
11,ResponsivenessToTreatment,ThoughtInsertionPT,true
12,SocialWithdraw,DomesticStability,true
13,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
14,AbuseNeglectAsChild,ASPD,true
15,StrangeExperiencesPT,MentalIllnessSymptomCount,true
16,CriminalFamilyBackground,CriminalNetwork,true
17,ResponsivenessToTreatment,AngerPT,true
18,Violence,prioracq,true
19,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
20,DepressionPT,FinancialDifficulties,true
21,SubstanceUse,SubstanceMisuseDL,true
22,MentalIllnessDL,ViolentConvictionsRate,true
23,AbuseNeglectAsChild,BPD,true
24,FinancialDifficulties,LivingCircumstances,true
25,Anger,AngerPT,true
26,SymptomsOfMentalIllness,Anxiety,true
27,SocialWithdraw,SocialProtectiveObs,true
28,BPD,AngerManagementGivenRFAT,false
29,Anger,Victimisation,false
30,AnyDrugDependence,ViolentConvictionsRate,false
31,CocaineBeforePrisonSentence,CocaineDependence,false
32,Impulsivity,PriorViolentConvictions,false
33,AlcoholDependence,PCLRfactor1,false
34,Intelligence,CriminalNetwork,false
35,ParanoidDelusionsPT,SubstanceMisuseDL,false
36,TimeAtRisk,Violence,false
37,PCLRfactor1,CriminalFamilyBackground,false
38,HallucinationsPT,FinancialDifficulties,false
39,DrugTreatment,Hallucinations,false
40,EcstasyAfterRelease,SocialWithdraw,false
41,CannabisBeforePrisonSentence,RefuseFailToAttendTherapy,false
42,ParanoidDelusions,ViolentConvictions,false
43,RefuseFailToAttendTherapy,Violence,false
44,NegativeAttitude,HazardousDrinkingAfterRelease,false
45,ResponsivenessToTreatment,Age,false
46,EmploymentOrTraining,CannabisDependence,false
47,HazardousDrinkingAfterRelease,AnxietyPT,false
48,AlcoholDependence,AlcoholTreatment,false
49,ResponseToTreatGivenAlcDep,SocialWithdraw,false
50,BPD,StrangeExperiences,false
51,PCLRfactor1,Stress,false
52,PCLRfactor1,EcstasyPT,false
53,EcstasyBeforePrisonSentence,AbilityToCope,false
54,EcstasyDependence,Anger,false
55,Victimisation,PsychiatricTreatment,false
