ID,Variable1,Variable2,TrueOrFalse
0,DrugTreatmentGivenRFAT,CannabisPT,true
1,ParanoidDelusions,ParanoidDelusionsPT,true
2,EcstasyPT,SubstanceUse,true
3,SocialWithdraw,CriminalNetwork,true
4,CocainePT,SubstanceUse,true
5,CocaineAfterRelease,CocainePT,true
6,ASPD,Impulsivity,true
7,AngerPT,ASPD,true
8,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
9,RefuseFailToAttendTherapy,DrugTreatmentGivenRFAT,true
10,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
11,AbuseNeglectAsChild,ASPD,true
12,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
13,ResponseToTreatGivenDrugDep,CocainePT,true
14,FinancialDifficulties,Stress,true
15,DrugTreatmentGivenRFAT,CocainePT,true
16,SymptomsOfMentalIllness,Anxiety,true
17,CocaineDuringPrisonSentence,CocaineAfterRelease,true
18,RefuseFailToAttendTherapy,PsychiatricTreatmentGivenRFAT,true
19,Anxiety,AnxietyPT,true
20,ResponsivenessToTreatment,ParanoidDelusionsPT,true
21,GangMember,NegativeAttitude,true
22,Intelligence,ResponsivenessToTreatment,true
23,Violence,Gender,true
24,ResponsivenessToTreatment,DepressionPT,true
25,GangMember,CriminalAttitude,true
26,SocialProtectiveObs,ViolentConvRateGivenProt,true
27,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
28,CocaineBeforePrisonSentence,AngerPT,false
29,Depression,CriminalAttitude,false
30,PsychiatricTreatmentGivenRFAT,PCLRfactor2,false
31,EcstasyBeforePrisonSentence,ResponseToTreatGivenDrugDep,false
32,ThoughtInsertionPT,ViolentThoughts,false
33,DomesticStability,pclrscore,false
34,ThoughtInsertionPT,ViolentConvictions,false
35,Intelligence,CocaineAfterRelease,false
36,AlcoholDependence,TimeAtRisk,false
37,CriminalFamilyBackground,SubstanceUse,false
38,RefuseFailToAttendTherapy,Violence,false
39,ViolentThoughts,CannabisDuringPrisonSentence,false
40,SocialProtectiveObs,TimeAtRisk,false
41,ResponsivenessToTreatment,ProblematicLifeEvents,false
42,ViolentConvRateGivenProt,AnxietyPT,false
43,AnxietyPT,ViolentConvictions,false
44,PsychiatricTreatmentGivenRFAT,Anxiety,false
45,AngerManagementGivenRFAT,CocaineBeforePrisonSentence,false
46,HazardousDrinkingPT,CocaineDependence,false
47,AbilityToCope,PsychiatricTreatment,false
48,ResponseToTreatGivenDrugDep,StrangeExperiences,false
49,Anxiety,CriminalFamilyBackground,false
50,ASPD,DrugTreatment,false
51,ParanoidDelusions,ViolentConvRateGivenProt,false
52,CocaineAfterRelease,GangMember,false
53,CannabisPT,Intelligence,false
54,DrugTreatmentGivenRFAT,CannabisDuringPrisonSentence,false
55,HazardousDrinkingPT,ResponseToTreatGivenAlcDep,false
