ID,Variable1,Variable2,TrueOrFalse
0,ResponsivenessToTreatment,AngerPT,true
1,Impulsivity,PCLRfacet3,true
2,HazardousDrinkingAfterRelease,AlcoholDependence,true
3,AlcoholTreatmentGivenRFAT,HazardousDrinkingPT,true
4,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
5,ProblematicLifeEvents,Stress,true
6,GangMember,NegativeAttitude,true
7,CocaineDuringPrisonSentence,CocaineAfterRelease,true
8,CriminalNetwork,NegativeAttitude,true
9,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
10,SymptomsOfMentalIllness,StrangeExperiences,true
11,AbilityToCope,Stress,true
12,EcstasyBeforePrisonSentence,EcstasyDuringPrisonSentence,true
13,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
14,CocainePT,SubstanceUse,true
15,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
16,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
17,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
18,DepressionPT,SocialWithdraw,true
19,ViolentConvictionsRate,ViolentConvRateGivenProt,true
20,TimeAtRisk,ViolentConvictions,true
21,CocaineAfterRelease,CocainePT,true
22,AngerManagementGivenRFAT,AngerPT,true
23,EcstasyAfterRelease,EcstasyPT,true
24,AnyDrugDependence,ResponseToTreatGivenDrugDep,true
25,RefuseFailToAttendTherapy,PsychiatricTreatmentGivenRFAT,true
26,SocialProtectiveObs,ViolentConvRateGivenProt,true
27,ThoughtInsertionPT,MentalIllnessSymptomCount,true
28,CriminalNetwork,Anger,false
29,AttitudeDL,AngerManagementGivenRFAT,false
30,PsychiatricTreatment,ResponseToTreatGivenDrugDep,false
31,SymptomsOfMentalIllness,Anger,false
32,ParanoidDelusions,CocaineDependence,false
33,Intelligence,DrugTreatment,false
34,PriorViolentConvictions,AggressionDL,false
35,AlcoholDependence,CocaineBeforePrisonSentence,false
36,RefuseFailToAttendTherapy,SubstanceUse,false
37,CriminalFamilyBackground,HallucinationsPT,false
38,Depression,ResponseToTreatGivenDrugDep,false
39,Hallucinations,ViolentThoughts,false
40,GangMember,Age,false
41,DrugTreatmentGivenRFAT,ViolentThoughts,false
42,AlcoholDependence,PCLRfactor2,false
43,EcstasyAfterRelease,AlcoholTreatment,false
44,StrangeExperiences,ViolentThoughts,false
45,Victimisation,prioracq,false
46,HallucinationsPT,PCLRfactor1,false
47,DrugTreatmentGivenRFAT,SocialProtectiveObs,false
48,prioracq,PriorViolentConvictions,false
49,NegativeAttitude,FinancialDifficulties,false
50,CannabisDependence,Gender,false
51,ViolentConvictionsRate,MentalIllnessSymptomCount,false
52,SocialProtectiveObs,ViolentThoughts,false
53,ResponseToTreatGivenAlcDep,Anger,false
54,TimeAtRisk,StrangeExperiencesPT,false
55,AlcoholTreatment,PriorViolentConvictions,false
