ID,Variable1,Variable2,TrueOrFalse
0,ThoughtInsertion,ThoughtInsertionPT,true
1,LivingCircumstances,SocialWithdraw,true
2,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
3,CocainePT,SubstanceUse,true
4,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
5,SocialWithdraw,SocialProtectiveObs,true
6,AnxietyPT,FinancialDifficulties,true
7,EmploymentOrTraining,DomesticStability,true
8,Depression,DepressionPT,true
9,ResponseToTreatGivenDrugDep,CannabisPT,true
10,Intelligence,ResponsivenessToTreatment,true
11,DepressionPT,SocialWithdraw,true
12,ThoughtInsertionPT,MentalIllnessSymptomCount,true
13,Hallucinations,HallucinationsPT,true
14,Education,Intelligence,true
15,SymptomsOfMentalIllness,Depression,true
16,ViolentThoughts,AggressionDL,true
17,AngerPT,BPD,true
18,AnxietyPT,MentalIllnessSymptomCount,true
19,StrangeExperiencesPT,MentalIllnessSymptomCount,true
20,DepressionPT,MentalIllnessSymptomCount,true
21,NegativeAttitude,AttitudeDL,true
22,CocaineBeforePrisonSentence,CocaineAfterRelease,true
23,LivingCircumstances,CriminalNetwork,true
24,AnyDrugDependence,ResponseToTreatGivenDrugDep,true
25,CriminalNetwork,CriminalAttitude,true
26,CannabisDuringPrisonSentence,CannabisAfterRelease,true
27,AttitudeDL,ViolentConvictionsRate,true
28,ViolentConvictionsRate,ASPD,false
29,CocaineDuringPrisonSentence,BPD,false
30,EcstasyBeforePrisonSentence,ThoughtInsertionPT,false
31,Anxiety,AngerPT,false
32,EmploymentOrTraining,Impulsivity,false
33,EmploymentOrTraining,CannabisPT,false
34,CannabisAfterRelease,ResponsivenessToTreatment,false
35,EcstasyDependence,ThoughtInsertionPT,false
36,CriminalAttitude,TimeAtRisk,false
37,PriorViolentConvictions,SubstanceUse,false
38,EcstasyBeforePrisonSentence,StrangeExperiences,false
39,AbilityToCope,CannabisDependence,false
40,ViolentConvictionsRate,ParanoidDelusions,false
41,SymptomsOfMentalIllness,Gender,false
42,CannabisDuringPrisonSentence,ParanoidDelusions,false
43,ParanoidDelusionsPT,ResponseToTreatGivenDrugDep,false
44,ComplianceWithSupervision,StrangeExperiences,false
45,AngerManagement,BPD,false
46,AngerManagement,DomesticStability,false
47,HazardousDrinkingPT,AbuseNeglectAsChild,false
48,AlcoholDependence,ComplianceWithSupervision,false
49,ViolentConvictionsRate,DrugTreatment,false
50,Gender,Anxiety,false
51,DomesticStability,DepressionPT,false
52,ViolentConvRateGivenProt,StrangeExperiences,false
53,prioracq,AnxietyPT,false
54,RefuseFailToAttendTherapy,CannabisDependence,false
55,DepressionPT,PCLRfactor2,false
