ID,Variable1,Variable2,TrueOrFalse
0,CannabisDuringPrisonSentence,CannabisAfterRelease,true
1,AnxietyPT,FinancialDifficulties,true
2,AnxietyPT,MentalIllnessSymptomCount,true
3,ViolentConvictionsRate,ViolentConvRateGivenProt,true
4,SocialWithdraw,SocialProtectiveObs,true
5,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
6,FinancialDifficulties,Stress,true
7,ResponseToTreatGivenDrugDep,EcstasyPT,true
8,SocialProtectiveObs,ViolentConvRateGivenProt,true
9,ResponsivenessToTreatment,AngerPT,true
10,AngerManagement,AngerManagementGivenRFAT,true
11,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
12,ViolentConvictions,Violence,true
13,SymptomsOfMentalIllness,ThoughtInsertion,true
14,MentalIllnessSymptomCount,MentalIllnessDL,true
15,Victimisation,ProblematicLifeEvents,true
16,CriminalFamilyBackground,CriminalNetwork,true
17,GangMember,Victimisation,true
18,CriminalNetwork,GangMember,true
19,SymptomsOfMentalIllness,Depression,true
20,LivingCircumstances,DomesticStability,true
21,DrugTreatment,DrugTreatmentGivenRFAT,true
22,MentalIllnessDL,ViolentConvictionsRate,true
23,ResponsivenessToTreatment,PCLRfactor1,true
24,AngerPT,ViolentThoughts,true
25,ResponsivenessToTreatment,ThoughtInsertionPT,true
26,ResponsivenessToTreatment,ParanoidDelusionsPT,true
27,CannabisDuringPrisonSentence,CannabisDependence,true
28,DrugTreatmentGivenRFAT,HallucinationsPT,false
29,ViolentThoughts,Hallucinations,false
30,AttitudeDL,BPD,false
31,AggressionDL,EcstasyPT,false
32,PsychiatricTreatment,AngerManagementGivenRFAT,false
33,CannabisDependence,ThoughtInsertion,false
34,ThoughtInsertion,Anxiety,false
35,DomesticStability,EcstasyDependence,false
36,SubstanceUse,NegativeAttitude,false
37,EcstasyBeforePrisonSentence,ViolentConvictions,false
38,SubstanceMisuseDL,Anxiety,false
39,CannabisDuringPrisonSentence,EcstasyDuringPrisonSentence,false
40,MentalIllnessSymptomCount,Impulsivity,false
41,Hallucinations,SubstanceMisuseDL,false
42,CannabisPT,MentalIllnessSymptomCount,false
43,Violence,CocainePT,false
44,AnxietyPT,ProblematicLifeEvents,false
45,AngerPT,StrangeExperiences,false
46,CocainePT,Stress,false
47,Anger,SubstanceUse,false
48,Hallucinations,DrugTreatmentGivenRFAT,false
49,CriminalNetwork,DepressionPT,false
50,PsychiatricTreatmentGivenRFAT,ResponseToTreatGivenAlcDep,false
51,SubstanceMisuseDL,DrugTreatmentGivenRFAT,false
52,ViolentConvictionsRate,AlcoholTreatment,false
53,ResponsivenessToTreatment,ParanoidDelusions,false
54,AngerManagement,PCLRfacet3,false
55,EcstasyBeforePrisonSentence,SymptomsOfMentalIllness,false
