ID,Parent,Child,TrueOrFalse
0,X25,X160,true
1,X32,X244,true
2,X16,X190,true
3,X318,X405,true
4,X21,X320,true
5,X309,X392,true
6,X258,X336,true
7,X3,X30,true
8,X170,X187,true
9,X6,X18,true
10,X39,X186,true
11,X192,X486,true
12,X79,X128,true
13,X25,X49,true
14,X48,X162,true
15,X4,X357,true
16,X1,X274,true
17,X323,X331,true
18,X148,X315,true
19,X39,X243,true
20,X30,X422,true
21,X150,X226,true
22,X42,X272,true
23,X21,X430,true
24,X196,X232,true
25,X72,X181,true
26,X21,X124,true
27,X42,X54,true
28,X6,X22,true
29,X17,X328,true
30,X1,X46,true
31,X31,X203,true
32,X101,X235,true
33,X176,X397,true
34,X1,X373,true
35,X431,X436,true
36,X70,X131,true
37,X7,X130,true
38,X1,X443,true
39,X147,X331,true
40,X3,X323,true
41,X243,X375,true
42,X30,X129,true
43,X12,X394,true
44,X19,X367,true
45,X78,X159,true
46,X3,X111,true
47,X32,X219,true
48,X78,X193,true
49,X67,X227,true
50,X19,X380,true
51,X58,X478,true
52,X287,X302,true
53,X0,X335,true
54,X62,X230,true
55,X1,X150,true
56,X31,X32,true
57,X130,X485,true
58,X31,X241,true
59,X52,X389,true
60,X26,X191,true
61,X12,X86,true
62,X257,X342,true
63,X158,X400,true
64,X14,X247,true
65,X6,X448,true
66,X88,X213,true
67,X87,X204,true
68,X3,X117,true
69,X3,X295,true
70,X58,X63,true
71,X72,X277,true
72,X6,X38,true
73,X20,X55,true
74,X469,X473,true
75,X42,X333,true
76,X51,X56,true
77,X14,X334,true
78,X33,X214,true
79,X159,X266,true
80,X6,X66,true
81,X71,X237,true
82,X72,X78,true
83,X256,X376,true
84,X7,X457,true
85,X23,X31,true
86,X7,X121,true
87,X147,X185,true
88,X89,X145,true
89,X241,X304,true
90,X0,X287,true
91,X22,X72,true
92,X6,X69,true
93,X441,X464,true
94,X51,X152,true
95,X21,X220,true
96,X72,X143,true
97,X14,X151,true
98,X3,X27,true
99,X127,X491,true
100,X132,X264,true
101,X62,X67,true
102,X3,X53,true
103,X128,X255,true
104,X98,X253,true
105,X41,X145,true
106,X52,X138,true
107,X75,X177,true
108,X106,X182,true
109,X48,X53,true
110,X18,X102,true
111,X22,X147,true
112,X75,X350,true
113,X2,X240,true
114,X10,X156,true
115,X1,X19,true
116,X82,X175,true
117,X297,X396,true
118,X15,X192,true
119,X51,X148,true
120,X111,X195,true
121,X22,X200,true
122,X11,X238,true
123,X69,X71,true
124,X223,X263,true
125,X15,X213,true
126,X123,X286,true
127,X163,X199,true
128,X252,X449,true
129,X107,X161,true
130,X341,X368,true
131,X178,X305,true
132,X199,X441,true
133,X37,X172,true
134,X175,X315,true
135,X4,X80,true
136,X1,X11,true
137,X92,X375,true
138,X3,X5,true
139,X35,X68,true
140,X109,X299,true
141,X17,X297,true
142,X404,X470,true
143,X256,X387,true
144,X15,X70,true
145,X37,X55,true
146,X0,X155,true
147,X23,X265,true
148,X127,X254,true
149,X21,X104,true
150,X84,X170,true
151,X14,X84,true
152,X190,X413,true
153,X25,X61,true
154,X126,X448,true
155,X25,X187,true
156,X25,X283,true
157,X117,X176,true
158,X28,X59,true
159,X9,X481,true
160,X0,X135,true
161,X451,X459,true
162,X79,X173,true
163,X66,X452,true
164,X58,X218,true
165,X21,X77,true
166,X381,X425,true
167,X171,X256,true
168,X72,X106,true
169,X256,X281,true
170,X59,X97,true
171,X4,X10,true
172,X21,X209,true
173,X0,X105,true
174,X33,X328,true
175,X6,X33,true
176,X2,X430,true
177,X4,X337,true
178,X1,X154,true
179,X89,X117,true
180,X59,X273,true
181,X309,X493,true
182,X9,X164,true
183,X141,X257,true
184,X88,X428,true
185,X195,X251,true
186,X196,X325,true
187,X62,X147,true
188,X2,X28,true
189,X148,X320,true
190,X11,X399,true
191,X91,X418,true
192,X33,X122,true
193,X21,X353,true
194,X85,X245,true
195,X81,X407,true
196,X106,X158,true
197,X189,X494,true
198,X240,X383,true
199,X11,X215,false
200,X35,X13,false
201,X421,X31,false
202,X178,X67,false
203,X311,X260,false
204,X303,X110,false
205,X272,X192,false
206,X126,X138,false
207,X90,X383,false
208,X395,X6,false
209,X486,X312,false
210,X386,X133,false
211,X5,X378,false
212,X89,X168,false
213,X466,X347,false
214,X1,X431,false
