ID,Parent,Child,TrueOrFalse
0,X278,X312,true
1,X4,X275,true
2,X427,X443,true
3,X34,X447,true
4,X0,X84,true
5,X261,X489,true
6,X141,X257,true
7,X25,X187,true
8,X53,X271,true
9,X31,X251,true
10,X4,X441,true
11,X53,X323,true
12,X14,X334,true
13,X48,X195,true
14,X17,X304,true
15,X16,X177,true
16,X31,X32,true
17,X33,X188,true
18,X40,X176,true
19,X106,X182,true
20,X325,X460,true
21,X307,X480,true
22,X1,X121,true
23,X7,X9,true
24,X109,X453,true
25,X257,X342,true
26,X223,X263,true
27,X52,X389,true
28,X25,X137,true
29,X10,X21,true
30,X14,X391,true
31,X6,X91,true
32,X11,X338,true
33,X175,X315,true
34,X20,X285,true
35,X168,X321,true
36,X6,X38,true
37,X7,X405,true
38,X59,X381,true
39,X15,X26,true
40,X59,X91,true
41,X0,X183,true
42,X7,X121,true
43,X13,X92,true
44,X240,X372,true
45,X195,X251,true
46,X123,X285,true
47,X31,X388,true
48,X302,X313,true
49,X256,X387,true
50,X109,X172,true
51,X6,X372,true
52,X14,X92,true
53,X145,X294,true
54,X61,X394,true
55,X463,X493,true
56,X256,X440,true
57,X209,X218,true
58,X66,X458,true
59,X97,X438,true
60,X7,X20,true
61,X132,X264,true
62,X14,X151,true
63,X353,X382,true
64,X158,X234,true
65,X20,X269,true
66,X174,X425,true
67,X241,X304,true
68,X225,X293,true
69,X171,X275,true
70,X109,X299,true
71,X130,X485,true
72,X0,X232,true
73,X376,X446,true
74,X39,X243,true
75,X169,X316,true
76,X217,X339,true
77,X9,X383,true
78,X1,X246,true
79,X31,X217,true
80,X7,X18,true
81,X28,X150,true
82,X48,X423,true
83,X28,X433,true
84,X11,X102,true
85,X28,X233,true
86,X57,X484,true
87,X440,X492,true
88,X48,X53,true
89,X3,X30,true
90,X4,X113,true
91,X278,X460,true
92,X2,X127,true
93,X56,X474,true
94,X0,X67,true
95,X196,X325,true
96,X2,X21,true
97,X0,X42,true
98,X132,X489,true
99,X14,X84,true
100,X132,X413,true
101,X30,X201,true
102,X38,X59,true
103,X94,X108,true
104,X16,X401,true
105,X31,X241,true
106,X24,X363,true
107,X90,X426,true
108,X251,X264,true
109,X15,X189,true
110,X124,X446,true
111,X2,X3,true
112,X147,X260,true
113,X6,X374,true
114,X68,X317,true
115,X253,X479,true
116,X130,X241,true
117,X10,X157,true
118,X1,X46,true
119,X147,X185,true
120,X360,X449,true
121,X1,X287,true
122,X51,X56,true
123,X188,X206,true
124,X1,X382,true
125,X103,X429,true
126,X37,X107,true
127,X14,X330,true
128,X250,X471,true
129,X111,X195,true
130,X159,X266,true
131,X302,X362,true
132,X280,X402,true
133,X5,X95,true
134,X72,X90,true
135,X78,X193,true
136,X49,X224,true
137,X18,X228,true
138,X0,X72,true
139,X71,X237,true
140,X6,X63,true
141,X25,X49,true
142,X91,X387,true
143,X25,X160,true
144,X26,X495,true
145,X201,X437,true
146,X20,X82,true
147,X48,X269,true
148,X84,X366,true
149,X100,X421,true
150,X15,X64,true
151,X5,X42,true
152,X0,X74,true
153,X41,X274,true
154,X185,X223,true
155,X127,X282,true
156,X268,X283,true
157,X72,X326,true
158,X30,X256,true
159,X22,X43,true
160,X40,X265,true
161,X341,X368,true
162,X35,X189,true
163,X5,X488,true
164,X41,X94,true
165,X20,X55,true
166,X221,X338,true
167,X107,X161,true
168,X21,X442,true
169,X25,X40,true
170,X84,X170,true
171,X72,X106,true
172,X28,X140,true
173,X241,X409,true
174,X65,X311,true
175,X30,X422,true
176,X106,X158,true
177,X199,X441,true
178,X20,X192,true
179,X249,X306,true
180,X145,X167,true
181,X62,X147,true
182,X13,X216,true
183,X8,X97,true
184,X404,X470,true
185,X11,X347,true
186,X16,X25,true
187,X51,X196,true
188,X265,X469,true
189,X215,X351,true
190,X6,X18,true
191,X71,X202,true
192,X51,X414,true
193,X145,X252,true
194,X56,X224,true
195,X216,X496,true
196,X48,X162,true
197,X87,X208,true
198,X41,X135,true
199,X497,X395,false
200,X240,X175,false
201,X168,X311,false
202,X350,X164,false
203,X206,X92,false
204,X404,X405,false
205,X467,X73,false
206,X267,X187,false
207,X347,X205,false
