ID,Variable1,Variable2,TrueOrFalse
0,FP_ModernMethod,FP_BirthsLast5Yrs,true
1,WSH_WashWithAgent,DIA_HadDiarrhoea,true
2,MTH_MaternalAge,FP_ModernMethod,true
3,MTH_Education,KNW_WatchTV,true
4,IMM_VitaminA1,IMM_Measles,true
5,FP_BirthsLast5Yrs,CHI_Age,true
6,ECO_WealthQuintile,WSH_ImprovedWaterSource,true
7,ECO_WealthQuintile,HOU_ModernWallMaterial,true
8,ECO_WealthQuintile,HOU_CookingFuel,true
9,ECO_WealthQuintile,DEL_SmallBaby,true
10,ECO_WealthQuintile,SRV_OKAlone,true
11,ECO_WealthQuintile,BF_BreastfedMonths,true
12,MTH_Education,IMM_VitaminA1,true
13,GEO_Region,CUL_Religion,true
14,WSH_ImprovedToilet,FP_BirthsLast5Yrs,false
15,DEL_SmallBaby,SRV_Near,false
16,HOU_CookingFuel,MTH_Education,false
17,HOU_CookingFuel,FP_ModernMethod,false
18,WSH_SafeStoolDisposal,WSH_ImprovedToilet,false
19,GEO_Region,IMM_Measles,false
20,WSH_ImprovedToilet,IMM_VitaminA1,false
21,FP_ModernMethod,MTH_MaternalAge,false
22,CHI_Age,MTH_MaternalAge,false
23,WSH_WashWithAgent,FP_BirthsLast5Yrs,false
24,SRV_OKAlone,GEO_Region,false
25,IMM_VitaminA1,WSH_ImprovedWaterSource,false
26,BF_BottleFeeding,HOU_ModernWallMaterial,false
27,FP_ModernMethod,WSH_ImprovedToilet,false
