ID,Variable1,Variable2,TrueOrFalse
0,ECO_WealthQuintile,SRV_OKAlone,true
1,GEO_Region,CUL_Religion,true
2,GEO_Region,WSH_ImprovedWaterSource,true
3,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
4,CHI_Age,BF_BottleFeeding,true
5,ECO_WealthQuintile,BF_BottleFeeding,true
6,FP_ModernMethod,FP_BirthsLast5Yrs,true
7,HOU_CookingFuel,WSH_WaterTreated,true
8,MTH_Education,IMM_Diptheria,true
9,CUL_LanguageGroup,MTH_Education,true
10,CUL_LanguageGroup,FP_BirthsLast5Yrs,true
11,IMM_VitaminA1,IMM_Measles,true
12,MTH_Education,IMM_Measles,true
13,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
14,BF_BreastfedMonths,IMM_VitaminA1,false
15,BF_BottleFeeding,BF_EarlyBreastfeeding,false
16,IMM_Measles,BF_BottleFeeding,false
17,KNW_WatchTV,FP_BirthsLast5Yrs,false
18,WSH_SafeStoolDisposal,WSH_ImprovedWaterSource,false
19,BF_EarlyBreastfeeding,IMM_Measles,false
20,IMM_VitaminA1,BF_BreastfedMonths,false
21,BF_BottleFeeding,WSH_ImprovedToilet,false
22,HOU_ModernWallMaterial,CUL_Religion,false
23,CUL_Religion,DEL_SmallBaby,false
24,BF_BottleFeeding,WSH_ImprovedWaterSource,false
25,CHI_Weight4Height,KNW_WatchTV,false
26,CUL_LanguageGroup,CHI_Weight4Height,false
27,IMM_Measles,WSH_WaterTreated,false
