ID,Variable1,Variable2,TrueOrFalse
0,GEO_Region,WSH_ImprovedToilet,true
1,HOU_CookingFuel,WSH_WaterTreated,true
2,ECO_WealthQuintile,SRV_Near,true
3,MTH_Education,IMM_Measles,true
4,CUL_LanguageGroup,ECO_WealthQuintile,true
5,CHI_Age,BF_BreastfedMonths,true
6,GEO_Region,CUL_LanguageGroup,true
7,CHI_Age,IMM_Diptheria,true
8,KNW_WatchTV,IMM_Diptheria,true
9,KNW_WatchTV,FP_ModernMethod,true
10,ECO_WealthQuintile,WSH_ImprovedWaterSource,true
11,ECO_WealthQuintile,DEL_SmallBaby,true
12,KNW_WatchTV,IMM_VitaminA1,true
13,MTH_Education,IMM_Diptheria,true
14,HOU_ModernWallMaterial,DIA_HadDiarrhoea,false
15,GEO_Region,WSH_WashWithAgent,false
16,HOU_ModernWallMaterial,CHI_Weight4Height,false
17,CHI_Weight4Height,BF_BottleFeeding,false
18,SRV_OKAlone,WSH_WashWithAgent,false
19,IMM_Diptheria,MTH_Education,false
20,CUL_LanguageGroup,IMM_VitaminA1,false
21,FP_BirthsLast5Yrs,IMM_Measles,false
22,MTH_Education,DEL_SmallBaby,false
23,BF_BottleFeeding,WSH_WashWithAgent,false
24,CHI_Weight4Height,WSH_ImprovedWaterSource,false
25,SRV_Near,IMM_Diptheria,false
26,MTH_MaternalAge,WSH_SafeStoolDisposal,false
27,WSH_ImprovedWaterSource,HOU_CookingFuel,false
