ID,Variable1,Variable2,TrueOrFalse
0,WSH_ImprovedWaterSource,WSH_WaterTreated,true
1,MTH_Education,SRV_Near,true
2,ECO_WealthQuintile,WSH_SafeStoolDisposal,true
3,DEL_SmallBaby,CHI_Weight4Height,true
4,CHI_Age,BF_BreastfedMonths,true
5,GEO_Region,WSH_ImprovedWaterSource,true
6,SRV_Near,DEL_SmallBaby,true
7,MTH_Education,BF_BottleFeeding,true
8,ECO_WealthQuintile,WSH_WashWithAgent,true
9,GEO_Region,BF_BottleFeeding,true
10,HOU_CookingFuel,WSH_WaterTreated,true
11,CUL_LanguageGroup,ECO_WealthQuintile,true
12,GEO_Region,CUL_LanguageGroup,true
13,MTH_MaternalAge,FP_ModernMethod,true
14,IMM_Measles,WSH_SafeStoolDisposal,false
15,IMM_Diptheria,FP_BirthsLast5Yrs,false
16,IMM_VitaminA1,BF_BottleFeeding,false
17,WSH_ImprovedToilet,BF_EarlyBreastfeeding,false
18,HOU_ModernWallMaterial,IMM_Diptheria,false
19,FP_ModernMethod,BF_BreastfedMonths,false
20,BF_BreastfedMonths,CHI_Age,false
21,FP_BirthsLast5Yrs,WSH_ImprovedWaterSource,false
22,IMM_Measles,IMM_Diptheria,false
23,CUL_Religion,MTH_MaternalAge,false
24,CHI_Age,MTH_MaternalAge,false
25,SRV_Near,IMM_Diptheria,false
26,DIA_HadDiarrhoea,IMM_Measles,false
27,WSH_WashWithAgent,SRV_Near,false
