ID,Parent,Child,TrueOrFalse
0,CHI_Age,BF_BreastfedMonths,true
1,CHI_Age,BF_BottleFeeding,true
2,ECO_WealthQuintile,WSH_SafeStoolDisposal,true
3,GEO_Region,BF_EarlyBreastfeeding,true
4,ECO_WealthQuintile,WSH_ImprovedToilet,true
5,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
6,CUL_LanguageGroup,HOU_ModernWallMaterial,true
7,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
8,WSH_WashWithAgent,DIA_HadDiarrhoea,true
9,ECO_WealthQuintile,SRV_OKAlone,true
10,ECO_WealthQuintile,CHI_Weight4Height,true
11,MTH_MaternalAge,FP_ModernMethod,true
12,ECO_WealthQuintile,WSH_ImprovedWaterSource,true
13,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
14,IMM_Diptheria,SRV_Near,false
15,WSH_WaterTreated,MTH_Education,false
16,HOU_ModernWallMaterial,DEL_SmallBaby,false
17,CUL_Religion,BF_BottleFeeding,false
18,ECO_WealthQuintile,CHI_Age,false
19,BF_EarlyBreastfeeding,MTH_MaternalAge,false
20,KNW_WatchTV,DEL_SmallBaby,false
21,CUL_LanguageGroup,DIA_HadDiarrhoea,false
22,BF_BreastfedMonths,WSH_SafeStoolDisposal,false
23,FP_BirthsLast5Yrs,FP_ModernMethod,false
24,SRV_OKAlone,DEL_SmallBaby,false
25,WSH_ImprovedToilet,MTH_Education,false
26,SRV_OKAlone,CUL_LanguageGroup,false
27,HOU_ModernWallMaterial,SRV_OKAlone,false
28,WSH_SafeStoolDisposal,CUL_Religion,false
29,CUL_LanguageGroup,CHI_Weight4Height,false
30,MTH_MaternalAge,WSH_ImprovedWaterSource,false
31,BF_EarlyBreastfeeding,BF_BreastfedMonths,false
32,CHI_Age,DIA_HadDiarrhoea,false
33,GEO_Region,WSH_WashWithAgent,false
34,GEO_Region,IMM_Measles,false
35,SRV_Near,WSH_SafeStoolDisposal,false
36,BF_BreastfedMonths,FP_ModernMethod,false
37,HOU_CookingFuel,FP_ModernMethod,false
38,IMM_Measles,HOU_CookingFuel,false
39,WSH_SafeStoolDisposal,HOU_ModernWallMaterial,false
40,CHI_Weight4Height,ECO_WealthQuintile,false
41,DIA_HadDiarrhoea,WSH_SafeStoolDisposal,false
