ID,Variable1,Variable2,TrueOrFalse
0,BF_BreastfedMonths,DIA_HadDiarrhoea,true
1,GEO_Region,WSH_ImprovedWaterSource,true
2,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
3,IMM_Measles,DIA_HadDiarrhoea,true
4,SRV_Near,SRV_OKAlone,true
5,GEO_Region,BF_EarlyBreastfeeding,true
6,MTH_MaternalAge,CHI_Age,true
7,DEL_SmallBaby,CHI_Weight4Height,true
8,GEO_Region,CUL_Religion,true
9,MTH_MaternalAge,FP_ModernMethod,true
10,ECO_WealthQuintile,WSH_SafeStoolDisposal,true
11,ECO_WealthQuintile,DEL_SmallBaby,true
12,MTH_Education,SRV_Near,true
13,KNW_WatchTV,IMM_Measles,true
14,CHI_Weight4Height,IMM_VitaminA1,false
15,KNW_WatchTV,CHI_Age,false
16,KNW_WatchTV,HOU_CookingFuel,false
17,DIA_HadDiarrhoea,DEL_SmallBaby,false
18,SRV_OKAlone,IMM_Measles,false
19,WSH_SafeStoolDisposal,MTH_Education,false
20,DEL_SmallBaby,WSH_SafeStoolDisposal,false
21,WSH_WaterTreated,IMM_Measles,false
22,DEL_SmallBaby,DIA_HadDiarrhoea,false
23,MTH_Education,WSH_ImprovedWaterSource,false
24,CUL_LanguageGroup,IMM_Measles,false
25,SRV_Near,MTH_Education,false
26,GEO_Region,DIA_HadDiarrhoea,false
27,SRV_Near,BF_BreastfedMonths,false
