ID,Variable1,Variable2,TrueOrFalse
0,CHI_Age,BF_BreastfedMonths,true
1,CUL_LanguageGroup,HOU_CookingFuel,true
2,ECO_WealthQuintile,CHI_Weight4Height,true
3,SRV_Near,DEL_SmallBaby,true
4,MTH_MaternalAge,FP_ModernMethod,true
5,CHI_Age,IMM_VitaminA1,true
6,KNW_WatchTV,IMM_Measles,true
7,GEO_Region,WSH_ImprovedToilet,true
8,CUL_Religion,BF_BreastfedMonths,true
9,GEO_Region,BF_BottleFeeding,true
10,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
11,ECO_WealthQuintile,BF_BottleFeeding,true
12,MTH_Education,KNW_WatchTV,true
13,CHI_Age,IMM_Measles,true
14,CHI_Weight4Height,IMM_Measles,false
15,HOU_CookingFuel,MTH_Education,false
16,IMM_Diptheria,FP_ModernMethod,false
17,FP_ModernMethod,CUL_Religion,false
18,CUL_Religion,MTH_Education,false
19,IMM_Measles,FP_ModernMethod,false
20,DEL_SmallBaby,DIA_HadDiarrhoea,false
21,HOU_CookingFuel,SRV_OKAlone,false
22,WSH_SafeStoolDisposal,IMM_Measles,false
23,KNW_WatchTV,WSH_ImprovedToilet,false
24,FP_ModernMethod,HOU_ModernWallMaterial,false
25,DEL_SmallBaby,WSH_WaterTreated,false
26,WSH_ImprovedToilet,BF_EarlyBreastfeeding,false
27,WSH_SafeStoolDisposal,SRV_Near,false
