ID,Parent,Child,TrueOrFalse
0,WSH_WashWithAgent,DIA_HadDiarrhoea,true
1,GEO_Region,CUL_LanguageGroup,true
2,MTH_Education,KNW_WatchTV,true
3,KNW_WatchTV,IMM_Measles,true
4,MTH_MaternalAge,CHI_Age,true
5,KNW_WatchTV,FP_ModernMethod,true
6,MTH_Education,IMM_VitaminA1,true
7,ECO_WealthQuintile,BF_BottleFeeding,true
8,WSH_ImprovedToilet,WSH_WashWithAgent,true
9,MTH_Education,IMM_Measles,true
10,CUL_LanguageGroup,HOU_CookingFuel,true
11,FP_ModernMethod,FP_BirthsLast5Yrs,true
12,ECO_WealthQuintile,MTH_Education,true
13,MTH_Education,WSH_WaterTreated,true
14,BF_BottleFeeding,DIA_HadDiarrhoea,true
15,ECO_WealthQuintile,WSH_WashWithAgent,true
16,ECO_WealthQuintile,HOU_ModernWallMaterial,true
17,CHI_Age,BF_BottleFeeding,true
18,MTH_MaternalAge,FP_ModernMethod,true
19,MTH_Education,BF_BottleFeeding,true
20,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
21,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
22,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
23,WSH_ImprovedWaterSource,WSH_WaterTreated,true
24,ECO_WealthQuintile,SRV_OKAlone,true
25,ECO_WealthQuintile,DEL_SmallBaby,true
26,WSH_WaterTreated,DIA_HadDiarrhoea,true
27,IMM_VitaminA1,IMM_Measles,true
28,CUL_Religion,BF_BreastfedMonths,true
29,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
30,KNW_WatchTV,IMM_Diptheria,true
31,MTH_Education,SRV_Near,true
32,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
33,HOU_CookingFuel,WSH_WaterTreated,true
34,IMM_VitaminA1,CUL_LanguageGroup,false
35,BF_BottleFeeding,WSH_WashWithAgent,false
36,HOU_CookingFuel,GEO_Region,false
37,WSH_WaterTreated,BF_EarlyBreastfeeding,false
38,BF_EarlyBreastfeeding,IMM_Measles,false
39,HOU_ModernWallMaterial,IMM_Measles,false
40,ECO_WealthQuintile,CHI_Age,false
41,FP_BirthsLast5Yrs,CUL_Religion,false
42,BF_EarlyBreastfeeding,GEO_Region,false
43,SRV_OKAlone,HOU_CookingFuel,false
44,GEO_Region,IMM_Measles,false
45,CHI_Age,ECO_WealthQuintile,false
46,BF_BreastfedMonths,WSH_SafeStoolDisposal,false
47,WSH_WaterTreated,CUL_Religion,false
48,WSH_ImprovedToilet,DEL_SmallBaby,false
49,CHI_Weight4Height,WSH_SafeStoolDisposal,false
50,WSH_WaterTreated,GEO_Region,false
51,KNW_WatchTV,CHI_Age,false
52,CUL_LanguageGroup,DEL_SmallBaby,false
53,BF_BreastfedMonths,BF_BottleFeeding,false
54,WSH_SafeStoolDisposal,BF_BreastfedMonths,false
55,BF_EarlyBreastfeeding,WSH_WaterTreated,false
56,SRV_Near,MTH_Education,false
57,DIA_HadDiarrhoea,GEO_Region,false
58,CUL_Religion,WSH_SafeStoolDisposal,false
59,GEO_Region,FP_BirthsLast5Yrs,false
60,MTH_Education,HOU_ModernWallMaterial,false
61,BF_BreastfedMonths,IMM_VitaminA1,false
62,IMM_Measles,BF_EarlyBreastfeeding,false
63,WSH_ImprovedToilet,KNW_WatchTV,false
64,WSH_ImprovedWaterSource,CHI_Weight4Height,false
65,FP_BirthsLast5Yrs,GEO_Region,false
66,WSH_ImprovedToilet,BF_EarlyBreastfeeding,false
67,BF_BreastfedMonths,MTH_MaternalAge,false
