ID,Variable1,Variable2,TrueOrFalse
0,KNW_WatchTV,IMM_Measles,true
1,MTH_Education,KNW_WatchTV,true
2,ECO_WealthQuintile,SRV_OKAlone,true
3,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
4,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
5,MTH_Education,IMM_VitaminA1,true
6,GEO_Region,WSH_ImprovedWaterSource,true
7,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
8,CUL_LanguageGroup,HOU_ModernWallMaterial,true
9,ECO_WealthQuintile,WSH_ImprovedWaterSource,true
10,ECO_WealthQuintile,BF_BottleFeeding,true
11,MTH_MaternalAge,CHI_Age,true
12,CHI_Age,BF_BottleFeeding,true
13,DEL_SmallBaby,CHI_Weight4Height,true
14,WSH_SafeStoolDisposal,FP_BirthsLast5Yrs,false
15,WSH_WashWithAgent,WSH_SafeStoolDisposal,false
16,SRV_OKAlone,WSH_SafeStoolDisposal,false
17,WSH_WaterTreated,WSH_ImprovedToilet,false
18,WSH_ImprovedToilet,DEL_SmallBaby,false
19,BF_BottleFeeding,WSH_ImprovedToilet,false
20,SRV_Near,DIA_HadDiarrhoea,false
21,WSH_ImprovedWaterSource,IMM_Measles,false
22,HOU_ModernWallMaterial,WSH_WaterTreated,false
23,IMM_Measles,HOU_CookingFuel,false
24,WSH_SafeStoolDisposal,BF_BottleFeeding,false
25,WSH_WaterTreated,WSH_SafeStoolDisposal,false
26,ECO_WealthQuintile,MTH_MaternalAge,false
27,CHI_Age,DIA_HadDiarrhoea,false
