ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,DIA_HadDiarrhoea
2,BF_BottleFeeding,->,WSH_WashWithAgent
3,BF_EarlyBreastfeeding,->,DEL_SmallBaby
4,BF_EarlyBreastfeeding,->,WSH_SafeStoolDisposal
5,CHI_Age,->,BF_BreastfedMonths
6,CHI_Age,->,IMM_Measles
7,CHI_Age,->,WSH_ImprovedToilet
8,CHI_Weight4Height,->,DEL_SmallBaby
9,CHI_Weight4Height,->,DIA_HadDiarrhoea
10,CUL_LanguageGroup,->,ECO_WealthQuintile
11,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
12,CUL_Religion,->,GEO_Region
13,DIA_HadDiarrhoea,->,BF_EarlyBreastfeeding
14,DIA_HadDiarrhoea,->,FP_BirthsLast5Yrs
15,DIA_HadDiarrhoea,->,WSH_ImprovedToilet
16,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
17,ECO_WealthQuintile,->,HOU_CookingFuel
18,ECO_WealthQuintile,->,HOU_ModernWallMaterial
19,FP_BirthsLast5Yrs,->,CHI_Age
20,FP_ModernMethod,->,DIA_HadDiarrhoea
21,GEO_Region,->,CUL_LanguageGroup
22,GEO_Region,->,ECO_WealthQuintile
23,HOU_CookingFuel,->,DEL_SmallBaby
24,HOU_ModernWallMaterial,->,WSH_SafeStoolDisposal
25,IMM_Diptheria,->,MTH_MaternalAge
26,IMM_Measles,->,DEL_SmallBaby
27,IMM_Measles,->,IMM_Diptheria
28,IMM_Measles,->,MTH_Education
29,IMM_VitaminA1,->,CHI_Weight4Height
30,KNW_WatchTV,->,HOU_CookingFuel
31,MTH_Education,->,BF_BottleFeeding
32,MTH_Education,->,KNW_WatchTV
33,MTH_Education,->,SRV_Near
34,MTH_MaternalAge,->,DEL_SmallBaby
35,SRV_Near,->,SRV_OKAlone
36,SRV_OKAlone,->,CUL_Religion
37,SRV_OKAlone,->,DIA_HadDiarrhoea
38,WSH_ImprovedToilet,->,HOU_CookingFuel
39,WSH_ImprovedWaterSource,->,WSH_WaterTreated
40,WSH_SafeStoolDisposal,->,WSH_ImprovedToilet
41,WSH_WashWithAgent,->,ECO_WealthQuintile
42,WSH_WaterTreated,->,HOU_CookingFuel
