ID,Variable1,Dependency,Variable2
1,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
2,BF_BreastfedMonths,->,DIA_HadDiarrhoea
3,BF_BreastfedMonths,->,MTH_MaternalAge
4,CHI_Age,->,DEL_SmallBaby
5,CHI_Age,->,FP_BirthsLast5Yrs
6,CHI_Age,->,HOU_ModernWallMaterial
7,CHI_Age,->,IMM_Diptheria
8,CHI_Age,->,IMM_VitaminA1
9,CHI_Age,->,SRV_Near
10,CHI_Weight4Height,->,ECO_WealthQuintile
11,CHI_Weight4Height,->,GEO_Region
12,CUL_LanguageGroup,->,BF_BreastfedMonths
13,CUL_LanguageGroup,->,GEO_Region
14,DEL_SmallBaby,->,CHI_Weight4Height
15,DEL_SmallBaby,->,FP_ModernMethod
16,DIA_HadDiarrhoea,->,HOU_ModernWallMaterial
17,ECO_WealthQuintile,->,BF_BottleFeeding
18,ECO_WealthQuintile,->,BF_BreastfedMonths
19,ECO_WealthQuintile,->,DIA_HadDiarrhoea
20,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
21,ECO_WealthQuintile,->,KNW_WatchTV
22,ECO_WealthQuintile,->,SRV_OKAlone
23,ECO_WealthQuintile,->,WSH_ImprovedToilet
24,FP_BirthsLast5Yrs,->,WSH_WaterTreated
25,FP_ModernMethod,->,MTH_Education
26,GEO_Region,->,BF_EarlyBreastfeeding
27,GEO_Region,->,SRV_OKAlone
28,HOU_CookingFuel,->,BF_BottleFeeding
29,HOU_CookingFuel,->,DEL_SmallBaby
30,HOU_ModernWallMaterial,->,BF_BreastfedMonths
31,IMM_Diptheria,->,HOU_ModernWallMaterial
32,IMM_Diptheria,->,IMM_Measles
33,KNW_WatchTV,->,IMM_VitaminA1
34,MTH_Education,->,WSH_WaterTreated
35,SRV_Near,->,FP_ModernMethod
36,SRV_Near,->,GEO_Region
37,SRV_OKAlone,->,MTH_Education
38,WSH_ImprovedToilet,->,FP_ModernMethod
39,WSH_ImprovedToilet,->,GEO_Region
40,WSH_ImprovedToilet,->,WSH_WashWithAgent
41,WSH_ImprovedWaterSource,->,CUL_LanguageGroup
42,WSH_ImprovedWaterSource,->,ECO_WealthQuintile
43,WSH_ImprovedWaterSource,->,WSH_WaterTreated
44,WSH_SafeStoolDisposal,->,ECO_WealthQuintile
45,WSH_SafeStoolDisposal,->,MTH_Education
46,WSH_WashWithAgent,->,BF_BottleFeeding
47,WSH_WashWithAgent,->,WSH_SafeStoolDisposal
48,WSH_WaterTreated,->,CUL_Religion
49,WSH_WaterTreated,->,HOU_CookingFuel
50,WSH_WaterTreated,->,IMM_VitaminA1
