ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,DIA_HadDiarrhoea
2,BF_BottleFeeding,->,FP_ModernMethod
3,BF_BottleFeeding,->,MTH_Education
4,BF_BottleFeeding,->,WSH_WaterTreated
5,BF_BreastfedMonths,->,HOU_CookingFuel
6,BF_EarlyBreastfeeding,->,FP_ModernMethod
7,BF_EarlyBreastfeeding,->,HOU_CookingFuel
8,CHI_Age,->,BF_BottleFeeding
9,CHI_Age,->,BF_BreastfedMonths
10,CHI_Age,->,IMM_Measles
11,CUL_LanguageGroup,->,FP_BirthsLast5Yrs
12,CUL_LanguageGroup,->,HOU_ModernWallMaterial
13,CUL_LanguageGroup,->,MTH_Education
14,CUL_Religion,->,BF_BreastfedMonths
15,CUL_Religion,->,WSH_ImprovedWaterSource
16,DEL_SmallBaby,->,BF_BreastfedMonths
17,DEL_SmallBaby,->,CHI_Weight4Height
18,DEL_SmallBaby,->,FP_BirthsLast5Yrs
19,DEL_SmallBaby,->,IMM_VitaminA1
20,DEL_SmallBaby,->,KNW_WatchTV
21,DIA_HadDiarrhoea,->,FP_ModernMethod
22,ECO_WealthQuintile,->,BF_BottleFeeding
23,ECO_WealthQuintile,->,BF_BreastfedMonths
24,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
25,ECO_WealthQuintile,->,HOU_ModernWallMaterial
26,ECO_WealthQuintile,->,SRV_Near
27,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
28,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
29,ECO_WealthQuintile,->,WSH_WashWithAgent
30,FP_ModernMethod,->,FP_BirthsLast5Yrs
31,FP_ModernMethod,->,MTH_MaternalAge
32,FP_ModernMethod,->,WSH_ImprovedToilet
33,GEO_Region,->,BF_EarlyBreastfeeding
34,GEO_Region,->,CHI_Age
35,GEO_Region,->,CHI_Weight4Height
36,GEO_Region,->,CUL_LanguageGroup
37,GEO_Region,->,CUL_Religion
38,GEO_Region,->,WSH_ImprovedToilet
39,HOU_CookingFuel,->,FP_BirthsLast5Yrs
40,HOU_ModernWallMaterial,->,IMM_Measles
41,HOU_ModernWallMaterial,->,KNW_WatchTV
42,HOU_ModernWallMaterial,->,WSH_ImprovedWaterSource
43,IMM_Diptheria,->,FP_BirthsLast5Yrs
44,IMM_Measles,->,BF_EarlyBreastfeeding
45,IMM_Measles,->,CUL_Religion
46,IMM_Measles,->,IMM_Diptheria
47,IMM_VitaminA1,->,HOU_ModernWallMaterial
48,IMM_VitaminA1,->,IMM_Measles
49,IMM_VitaminA1,->,WSH_ImprovedToilet
50,KNW_WatchTV,->,WSH_SafeStoolDisposal
51,MTH_Education,->,ECO_WealthQuintile
52,MTH_Education,->,IMM_Measles
53,MTH_Education,->,IMM_VitaminA1
54,MTH_Education,->,KNW_WatchTV
55,MTH_MaternalAge,->,CHI_Age
56,SRV_Near,->,DEL_SmallBaby
57,SRV_Near,->,MTH_Education
58,SRV_Near,->,SRV_OKAlone
59,SRV_Near,->,WSH_ImprovedWaterSource
60,SRV_OKAlone,->,MTH_Education
61,WSH_ImprovedToilet,->,WSH_ImprovedWaterSource
62,WSH_ImprovedWaterSource,->,DIA_HadDiarrhoea
63,WSH_SafeStoolDisposal,->,BF_BottleFeeding
64,WSH_SafeStoolDisposal,->,DIA_HadDiarrhoea
65,WSH_SafeStoolDisposal,->,WSH_ImprovedToilet
66,WSH_WashWithAgent,->,DIA_HadDiarrhoea
67,WSH_WashWithAgent,->,HOU_CookingFuel
68,WSH_WashWithAgent,->,IMM_VitaminA1
69,WSH_WashWithAgent,->,WSH_ImprovedToilet
70,WSH_WaterTreated,->,HOU_CookingFuel
71,WSH_WaterTreated,->,KNW_WatchTV
72,WSH_WaterTreated,->,WSH_ImprovedWaterSource
