ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,CHI_Age
2,BF_BottleFeeding,->,CUL_Religion
3,BF_BreastfedMonths,->,DEL_SmallBaby
4,BF_EarlyBreastfeeding,->,FP_BirthsLast5Yrs
5,BF_EarlyBreastfeeding,->,HOU_CookingFuel
6,CHI_Age,->,BF_BreastfedMonths
7,CHI_Age,->,FP_BirthsLast5Yrs
8,CHI_Age,->,MTH_MaternalAge
9,CHI_Age,->,SRV_Near
10,CHI_Weight4Height,->,BF_BottleFeeding
11,CHI_Weight4Height,->,FP_ModernMethod
12,CHI_Weight4Height,->,WSH_SafeStoolDisposal
13,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
14,CUL_LanguageGroup,->,CHI_Age
15,CUL_Religion,->,WSH_ImprovedWaterSource
16,CUL_Religion,->,WSH_WaterTreated
17,DIA_HadDiarrhoea,->,DEL_SmallBaby
18,ECO_WealthQuintile,->,DEL_SmallBaby
19,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
20,ECO_WealthQuintile,->,WSH_WashWithAgent
21,FP_ModernMethod,->,CUL_LanguageGroup
22,FP_ModernMethod,->,DEL_SmallBaby
23,FP_ModernMethod,->,IMM_Measles
24,GEO_Region,->,CUL_LanguageGroup
25,GEO_Region,->,CUL_Religion
26,GEO_Region,->,DEL_SmallBaby
27,HOU_CookingFuel,->,HOU_ModernWallMaterial
28,HOU_CookingFuel,->,WSH_SafeStoolDisposal
29,HOU_ModernWallMaterial,->,CUL_LanguageGroup
30,HOU_ModernWallMaterial,->,MTH_MaternalAge
31,IMM_Diptheria,->,CHI_Weight4Height
32,IMM_Diptheria,->,IMM_Measles
33,IMM_Measles,->,DIA_HadDiarrhoea
34,IMM_Measles,->,SRV_Near
35,IMM_VitaminA1,->,CUL_LanguageGroup
36,IMM_VitaminA1,->,SRV_OKAlone
37,KNW_WatchTV,->,CUL_Religion
38,KNW_WatchTV,->,ECO_WealthQuintile
39,KNW_WatchTV,->,FP_ModernMethod
40,KNW_WatchTV,->,IMM_Diptheria
41,KNW_WatchTV,->,IMM_VitaminA1
42,MTH_Education,->,FP_ModernMethod
43,MTH_Education,->,WSH_WaterTreated
44,MTH_MaternalAge,->,WSH_SafeStoolDisposal
45,SRV_Near,->,CUL_LanguageGroup
46,SRV_Near,->,DEL_SmallBaby
47,SRV_Near,->,MTH_Education
48,SRV_Near,->,SRV_OKAlone
49,WSH_ImprovedToilet,->,CUL_LanguageGroup
50,WSH_ImprovedToilet,->,WSH_WashWithAgent
51,WSH_ImprovedWaterSource,->,DIA_HadDiarrhoea
52,WSH_ImprovedWaterSource,->,KNW_WatchTV
53,WSH_SafeStoolDisposal,->,DIA_HadDiarrhoea
54,WSH_WashWithAgent,->,FP_ModernMethod
55,WSH_WashWithAgent,->,MTH_MaternalAge
56,WSH_WaterTreated,->,CHI_Age
57,WSH_WaterTreated,->,DIA_HadDiarrhoea
58,WSH_WaterTreated,->,HOU_CookingFuel
