ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,ECO_WealthQuintile
2,BF_BreastfedMonths,->,DEL_SmallBaby
3,BF_BreastfedMonths,->,KNW_WatchTV
4,BF_EarlyBreastfeeding,->,DEL_SmallBaby
5,BF_EarlyBreastfeeding,->,DIA_HadDiarrhoea
6,CHI_Age,->,IMM_Measles
7,CHI_Age,->,IMM_VitaminA1
8,CHI_Age,->,WSH_WaterTreated
9,CHI_Weight4Height,->,MTH_Education
10,CUL_LanguageGroup,->,CUL_Religion
11,CUL_LanguageGroup,->,HOU_ModernWallMaterial
12,CUL_LanguageGroup,->,MTH_MaternalAge
13,DEL_SmallBaby,->,GEO_Region
14,DEL_SmallBaby,->,WSH_ImprovedWaterSource
15,DIA_HadDiarrhoea,->,CUL_Religion
16,DIA_HadDiarrhoea,->,MTH_Education
17,ECO_WealthQuintile,->,DEL_SmallBaby
18,ECO_WealthQuintile,->,KNW_WatchTV
19,ECO_WealthQuintile,->,SRV_OKAlone
20,ECO_WealthQuintile,->,WSH_ImprovedToilet
21,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
22,ECO_WealthQuintile,->,WSH_WashWithAgent
23,FP_BirthsLast5Yrs,->,ECO_WealthQuintile
24,FP_BirthsLast5Yrs,->,HOU_ModernWallMaterial
25,FP_ModernMethod,->,BF_BottleFeeding
26,FP_ModernMethod,->,CHI_Age
27,FP_ModernMethod,->,DEL_SmallBaby
28,FP_ModernMethod,->,DIA_HadDiarrhoea
29,FP_ModernMethod,->,WSH_ImprovedToilet
30,GEO_Region,->,BF_BreastfedMonths
31,GEO_Region,->,CUL_LanguageGroup
32,GEO_Region,->,WSH_ImprovedToilet
33,IMM_Diptheria,->,CHI_Age
34,IMM_Diptheria,->,CUL_Religion
35,IMM_Diptheria,->,MTH_Education
36,IMM_VitaminA1,->,BF_BreastfedMonths
37,KNW_WatchTV,->,IMM_Diptheria
38,MTH_Education,->,BF_BreastfedMonths
39,MTH_Education,->,FP_BirthsLast5Yrs
40,MTH_MaternalAge,->,KNW_WatchTV
41,MTH_MaternalAge,->,WSH_ImprovedToilet
42,SRV_Near,->,HOU_ModernWallMaterial
43,SRV_Near,->,MTH_MaternalAge
44,SRV_OKAlone,->,IMM_Diptheria
45,SRV_OKAlone,->,SRV_Near
46,WSH_ImprovedToilet,->,BF_EarlyBreastfeeding
47,WSH_ImprovedWaterSource,->,DIA_HadDiarrhoea
48,WSH_ImprovedWaterSource,->,HOU_CookingFuel
49,WSH_ImprovedWaterSource,->,SRV_OKAlone
50,WSH_ImprovedWaterSource,->,WSH_WaterTreated
51,WSH_SafeStoolDisposal,->,DIA_HadDiarrhoea
52,WSH_SafeStoolDisposal,->,HOU_ModernWallMaterial
53,WSH_SafeStoolDisposal,->,WSH_WaterTreated
54,WSH_WashWithAgent,->,CHI_Weight4Height
