ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,DIA_HadDiarrhoea
2,BF_BottleFeeding,->,ECO_WealthQuintile
3,BF_BottleFeeding,->,WSH_ImprovedWaterSource
4,BF_BottleFeeding,->,WSH_WashWithAgent
5,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
6,BF_BreastfedMonths,->,FP_ModernMethod
7,BF_BreastfedMonths,->,IMM_Diptheria
8,BF_EarlyBreastfeeding,->,CUL_LanguageGroup
9,BF_EarlyBreastfeeding,->,WSH_SafeStoolDisposal
10,CHI_Age,->,BF_BreastfedMonths
11,CHI_Age,->,BF_EarlyBreastfeeding
12,CHI_Age,->,IMM_Measles
13,CHI_Age,->,IMM_VitaminA1
14,CHI_Age,->,MTH_MaternalAge
15,CHI_Age,->,WSH_ImprovedToilet
16,CUL_LanguageGroup,->,ECO_WealthQuintile
17,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
18,CUL_Religion,->,BF_BreastfedMonths
19,CUL_Religion,->,SRV_Near
20,DEL_SmallBaby,->,CUL_LanguageGroup
21,DIA_HadDiarrhoea,->,BF_EarlyBreastfeeding
22,DIA_HadDiarrhoea,->,WSH_ImprovedToilet
23,ECO_WealthQuintile,->,BF_BreastfedMonths
24,ECO_WealthQuintile,->,CHI_Weight4Height
25,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
26,ECO_WealthQuintile,->,KNW_WatchTV
27,ECO_WealthQuintile,->,SRV_Near
28,ECO_WealthQuintile,->,WSH_ImprovedToilet
29,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
30,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
31,ECO_WealthQuintile,->,WSH_WashWithAgent
32,FP_BirthsLast5Yrs,->,CUL_LanguageGroup
33,FP_BirthsLast5Yrs,->,GEO_Region
34,FP_ModernMethod,->,BF_BottleFeeding
35,FP_ModernMethod,->,DIA_HadDiarrhoea
36,GEO_Region,->,CHI_Weight4Height
37,GEO_Region,->,CUL_LanguageGroup
38,GEO_Region,->,CUL_Religion
39,GEO_Region,->,ECO_WealthQuintile
40,GEO_Region,->,WSH_ImprovedToilet
41,GEO_Region,->,WSH_ImprovedWaterSource
42,HOU_CookingFuel,->,CUL_LanguageGroup
43,HOU_CookingFuel,->,HOU_ModernWallMaterial
44,HOU_CookingFuel,->,WSH_WaterTreated
45,HOU_ModernWallMaterial,->,SRV_OKAlone
46,HOU_ModernWallMaterial,->,WSH_SafeStoolDisposal
47,IMM_Diptheria,->,IMM_Measles
48,IMM_Diptheria,->,WSH_ImprovedToilet
49,IMM_Measles,->,DIA_HadDiarrhoea
50,IMM_Measles,->,MTH_Education
51,IMM_VitaminA1,->,CHI_Weight4Height
52,IMM_VitaminA1,->,DEL_SmallBaby
53,IMM_VitaminA1,->,DIA_HadDiarrhoea
54,KNW_WatchTV,->,HOU_CookingFuel
55,KNW_WatchTV,->,IMM_VitaminA1
56,MTH_Education,->,BF_BottleFeeding
57,MTH_Education,->,DEL_SmallBaby
58,MTH_Education,->,SRV_Near
59,MTH_Education,->,WSH_WaterTreated
60,MTH_MaternalAge,->,SRV_Near
61,SRV_OKAlone,->,SRV_Near
62,SRV_OKAlone,->,WSH_ImprovedWaterSource
63,SRV_OKAlone,->,WSH_SafeStoolDisposal
64,WSH_ImprovedToilet,->,HOU_CookingFuel
65,WSH_ImprovedToilet,->,IMM_VitaminA1
66,WSH_ImprovedToilet,->,WSH_WashWithAgent
67,WSH_ImprovedWaterSource,->,DIA_HadDiarrhoea
68,WSH_ImprovedWaterSource,->,WSH_WaterTreated
69,WSH_SafeStoolDisposal,->,WSH_WaterTreated
70,WSH_WashWithAgent,->,DEL_SmallBaby
71,WSH_WashWithAgent,->,WSH_WaterTreated
72,WSH_WaterTreated,->,DIA_HadDiarrhoea
73,WSH_WaterTreated,->,WSH_ImprovedToilet
