ID,Variable1,Dependency,Variable2
1,PCLRfacet3,->,Impulsivity
2,PCLRfacet3,->,SymptomsOfMentalIllness
3,AbilityToCope,->,Victimisation
4,AbilityToCope,->,CannabisAfterRelease
5,Stress,->,ViolentConvictions
6,ProblematicLifeEvents,->,CannabisDependence
7,ProblematicLifeEvents,->,StrangeExperiencesPT
8,Victimisation,->,ProblematicLifeEvents
9,Impulsivity,->,BPD
10,AbuseNeglectAsChild,->,ASPD
11,ASPD,->,Impulsivity
12,ASPD,->,PCLRfactor2
13,ASPD,->,EcstasyDependence
14,ASPD,->,CocainePT
15,ASPD,->,Anger
16,CriminalNetwork,->,CriminalAttitude
17,Age,->,CriminalNetwork
18,Age,->,EcstasyDependence
19,Age,->,Anger
20,Gender,->,CannabisDependence
21,PriorViolentConvictions,->,SymptomsOfMentalIllness
22,PriorViolentConvictions,->,ViolentConvictions
23,pclrscore,->,BPD
24,pclrscore,->,ViolentConvictions
25,TimeAtRisk,->,Victimisation
26,TimeAtRisk,->,BPD
27,TimeAtRisk,->,RefuseFailToAttendTherapy
28,TimeAtRisk,->,ViolentConvictions
29,CriminalFamilyBackground,->,SymptomsOfMentalIllness
30,CriminalFamilyBackground,->,CocaineBeforePrisonSentence
31,CriminalFamilyBackground,->,CannabisDependence
32,Education,->,PriorViolentConvictions
33,Education,->,Intelligence
34,Education,->,FinancialDifficulties
35,Intelligence,->,CriminalNetwork
36,EmploymentOrTraining,->,SymptomsOfMentalIllness
37,EmploymentOrTraining,->,CannabisDependence
38,EmploymentOrTraining,->,ViolentConvictions
39,FinancialDifficulties,->,BPD
40,DomesticStability,->,ViolentConvictions
41,GangMember,->,CriminalAttitude
42,GangMember,->,ViolentConvictions
43,GangMember,->,Anger
44,ComplianceWithSupervision,->,TimeAtRisk
45,ComplianceWithSupervision,->,Education
46,ComplianceWithSupervision,->,NegativeAttitude
47,ComplianceWithSupervision,->,EcstasyBeforePrisonSentence
48,ComplianceWithSupervision,->,SocialProtectiveObs
49,NegativeAttitude,->,AttitudeDL
50,CriminalAttitude,->,AttitudeDL
51,PCLRfactor1,->,SocialProtectiveObs
52,RefuseFailToAttendTherapy,->,CannabisDependence
53,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
54,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
55,CannabisBeforePrisonSentence,->,CriminalNetwork
56,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
57,EcstasyBeforePrisonSentence,->,ViolentThoughts
58,EcstasyDuringPrisonSentence,->,AbilityToCope
59,EcstasyDuringPrisonSentence,->,Stress
60,EcstasyDuringPrisonSentence,->,Impulsivity
61,EcstasyDuringPrisonSentence,->,AbuseNeglectAsChild
62,EcstasyDuringPrisonSentence,->,prioracq
63,EcstasyDuringPrisonSentence,->,Age
64,EcstasyDuringPrisonSentence,->,pclrscore
65,EcstasyDuringPrisonSentence,->,Intelligence
66,EcstasyDuringPrisonSentence,->,FinancialDifficulties
67,EcstasyDuringPrisonSentence,->,GangMember
68,EcstasyDuringPrisonSentence,->,ComplianceWithSupervision
69,EcstasyDuringPrisonSentence,->,RefuseFailToAttendTherapy
70,EcstasyDuringPrisonSentence,->,AnxietyPT
71,EcstasyDuringPrisonSentence,->,HallucinationsPT
72,EcstasyDuringPrisonSentence,->,PsychiatricTreatment
73,CocaineDuringPrisonSentence,->,CocaineBeforePrisonSentence
74,CannabisAfterRelease,->,CannabisBeforePrisonSentence
75,CannabisAfterRelease,->,CannabisPT
76,CocaineAfterRelease,->,AbuseNeglectAsChild
77,EcstasyAfterRelease,->,Victimisation
78,EcstasyAfterRelease,->,EcstasyBeforePrisonSentence
79,EcstasyDependence,->,AnyDrugDependence
80,AnyDrugDependence,->,CannabisDuringPrisonSentence
81,CannabisDependence,->,FinancialDifficulties
82,CannabisDependence,->,CriminalAttitude
83,CannabisDependence,->,AnyDrugDependence
84,CocaineDependence,->,AnyDrugDependence
85,CocaineDependence,->,Anger
86,AlcoholDependence,->,PCLRfacet3
87,AlcoholDependence,->,prioracq
88,DrugTreatment,->,DrugTreatmentGivenRFAT
89,DrugTreatment,->,Anger
90,AlcoholTreatment,->,PCLRfacet3
91,AlcoholTreatment,->,Victimisation
92,AlcoholTreatment,->,AbuseNeglectAsChild
93,AlcoholTreatment,->,pclrscore
94,AlcoholTreatment,->,FinancialDifficulties
95,AlcoholTreatment,->,EcstasyBeforePrisonSentence
96,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
97,AlcoholTreatmentGivenRFAT,->,Impulsivity
98,AlcoholTreatmentGivenRFAT,->,prioracq
99,AlcoholTreatmentGivenRFAT,->,CriminalFamilyBackground
100,AlcoholTreatmentGivenRFAT,->,DomesticStability
101,AlcoholTreatmentGivenRFAT,->,GangMember
102,AlcoholTreatmentGivenRFAT,->,CocaineDuringPrisonSentence
103,AlcoholTreatmentGivenRFAT,->,StrangeExperiencesPT
104,DrugTreatmentGivenRFAT,->,EcstasyDependence
105,DrugTreatmentGivenRFAT,->,CocainePT
106,DrugTreatmentGivenRFAT,->,ViolentConvictions
107,EcstasyPT,->,EcstasyAfterRelease
108,CannabisPT,->,SubstanceUse
109,CocainePT,->,ViolentThoughts
110,CocainePT,->,CocaineAfterRelease
111,CocainePT,->,SubstanceUse
112,SubstanceUse,->,CocaineDependence
113,SubstanceUse,->,EcstasyPT
114,SubstanceUse,->,HazardousDrinkingPT
115,SubstanceUse,->,SocialProtectiveObs
116,ViolentConvictions,->,prioracq
117,ViolentConvictions,->,Intelligence
118,ViolentConvictions,->,Violence
119,ViolentConvictions,->,AnxietyPT
120,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
121,ResponsivenessToTreatment,->,AnxietyPT
122,ResponseToTreatGivenAlcDep,->,ViolentConvictions
123,ResponseToTreatGivenDrugDep,->,TimeAtRisk
124,ResponseToTreatGivenDrugDep,->,EcstasyDependence
125,ResponseToTreatGivenDrugDep,->,CocainePT
126,ResponseToTreatGivenDrugDep,->,ResponsivenessToTreatment
127,Anger,->,AngerPT
128,AngerManagementGivenRFAT,->,EmploymentOrTraining
129,AngerManagementGivenRFAT,->,CocaineBeforePrisonSentence
130,AngerManagementGivenRFAT,->,EcstasyDependence
131,HazardousDrinkingPT,->,HazardousDrinkingAfterRelease
132,HazardousDrinkingPT,->,SubstanceMisuseDL
133,AngerManagement,->,ViolentThoughts
134,AngerManagement,->,BPD
135,AngerManagement,->,CannabisDependence
136,AngerManagement,->,AngerManagementGivenRFAT
137,LivingCircumstances,->,Age
138,LivingCircumstances,->,FinancialDifficulties
139,LivingCircumstances,->,SymptomsOfMentalIllness
140,LivingCircumstances,->,CocaineBeforePrisonSentence
141,LivingCircumstances,->,ViolentConvictions
142,LivingCircumstances,->,SocialProtectiveObs
143,SocialProtectiveObs,->,SocialWithdraw
144,SocialWithdraw,->,ViolentThoughts
145,SocialWithdraw,->,CriminalNetwork
146,SocialWithdraw,->,DepressionPT
147,ViolentConvictionsRate,->,ProblematicLifeEvents
148,ViolentConvictionsRate,->,AggressionDL
149,ViolentConvictionsRate,->,ViolentConvRateGivenProt
150,ViolentConvRateGivenProt,->,EcstasyBeforePrisonSentence
151,ViolentConvRateGivenProt,->,ViolentConvictions
152,DepressionPT,->,Depression
153,AnxietyPT,->,EcstasyDependence
154,AnxietyPT,->,Anxiety
155,ThoughtInsertion,->,AlcoholDependence
156,ThoughtInsertion,->,ThoughtInsertionPT
157,HallucinationsPT,->,Hallucinations
158,StrangeExperiencesPT,->,StrangeExperiences
159,ParanoidDelusions,->,ViolentThoughts
160,ParanoidDelusions,->,ParanoidDelusionsPT
161,ParanoidDelusionsPT,->,MentalIllnessSymptomCount
162,ParanoidDelusionsPT,->,MentalIllnessDL
163,PsychiatricTreatment,->,CannabisDependence
164,PsychiatricTreatment,->,CocainePT
165,PsychiatricTreatment,->,ViolentConvictions
166,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
167,MentalIllnessSymptomCount,->,CannabisDependence
168,MentalIllnessSymptomCount,->,ThoughtInsertion
169,MentalIllnessDL,->,DrugTreatment
170,MentalIllnessDL,->,AlcoholTreatment
171,MentalIllnessDL,->,ViolentConvictionsRate
