ID,Variable1,Dependency,Variable2
1,PCLRfacet3,->,ViolentConvictions
2,PCLRfacet3,->,LivingCircumstances
3,Stress,->,Intelligence
4,Stress,->,EcstasyBeforePrisonSentence
5,ProblematicLifeEvents,->,pclrscore
6,ProblematicLifeEvents,->,DepressionPT
7,Victimisation,->,PCLRfacet3
8,Victimisation,->,pclrscore
9,Impulsivity,->,PCLRfacet3
10,Impulsivity,->,ASPD
11,Impulsivity,->,AggressionDL
12,AbuseNeglectAsChild,->,TimeAtRisk
13,PCLRfactor2,->,AbilityToCope
14,PCLRfactor2,->,ASPD
15,PCLRfactor2,->,LivingCircumstances
16,CriminalNetwork,->,CriminalFamilyBackground
17,CriminalNetwork,->,NegativeAttitude
18,prioracq,->,EcstasyBeforePrisonSentence
19,prioracq,->,CocaineDependence
20,prioracq,->,ViolentConvictions
21,Age,->,ASPD
22,Age,->,SymptomsOfMentalIllness
23,Age,->,ViolentConvictions
24,Age,->,LivingCircumstances
25,Gender,->,LivingCircumstances
26,PriorViolentConvictions,->,EcstasyDuringPrisonSentence
27,pclrscore,->,ASPD
28,pclrscore,->,ViolentConvictions
29,pclrscore,->,LivingCircumstances
30,TimeAtRisk,->,LivingCircumstances
31,Education,->,Intelligence
32,Education,->,LivingCircumstances
33,Intelligence,->,ViolentThoughts
34,Intelligence,->,ViolentConvictions
35,EmploymentOrTraining,->,FinancialDifficulties
36,EmploymentOrTraining,->,AlcoholTreatment
37,FinancialDifficulties,->,Stress
38,FinancialDifficulties,->,DomesticStability
39,FinancialDifficulties,->,LivingCircumstances
40,GangMember,->,NegativeAttitude
41,GangMember,->,SymptomsOfMentalIllness
42,ComplianceWithSupervision,->,NegativeAttitude
43,NegativeAttitude,->,EcstasyDuringPrisonSentence
44,NegativeAttitude,->,LivingCircumstances
45,CriminalAttitude,->,AttitudeDL
46,SymptomsOfMentalIllness,->,Anxiety
47,PCLRfactor1,->,ViolentThoughts
48,PCLRfactor1,->,Education
49,PCLRfactor1,->,ViolentConvictions
50,RefuseFailToAttendTherapy,->,ASPD
51,RefuseFailToAttendTherapy,->,prioracq
52,RefuseFailToAttendTherapy,->,DomesticStability
53,RefuseFailToAttendTherapy,->,AlcoholTreatmentGivenRFAT
54,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
55,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
56,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
57,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
58,CocaineBeforePrisonSentence,->,PCLRfactor2
59,EcstasyBeforePrisonSentence,->,ProblematicLifeEvents
60,CannabisDuringPrisonSentence,->,ASPD
61,CannabisDuringPrisonSentence,->,SymptomsOfMentalIllness
62,CannabisDuringPrisonSentence,->,EcstasyBeforePrisonSentence
63,CannabisDuringPrisonSentence,->,CannabisAfterRelease
64,CannabisDuringPrisonSentence,->,CannabisDependence
65,CocaineDuringPrisonSentence,->,CriminalAttitude
66,CocaineDuringPrisonSentence,->,CocaineBeforePrisonSentence
67,CocaineDuringPrisonSentence,->,CocaineDependence
68,CocaineDuringPrisonSentence,->,Anger
69,CocaineDuringPrisonSentence,->,AngerManagement
70,CocaineDuringPrisonSentence,->,ViolentConvRateGivenProt
71,CannabisAfterRelease,->,CannabisPT
72,CocaineAfterRelease,->,Education
73,CocaineAfterRelease,->,CocaineBeforePrisonSentence
74,EcstasyAfterRelease,->,Gender
75,EcstasyAfterRelease,->,TimeAtRisk
76,EcstasyAfterRelease,->,SymptomsOfMentalIllness
