ID,Variable1,Dependency,Variable2
1,AbilityToCope,->,DomesticStability
2,AbilityToCope,->,EcstasyPT
3,ProblematicLifeEvents,->,Stress
4,ProblematicLifeEvents,->,prioracq
5,ProblematicLifeEvents,->,EcstasyDependence
6,ProblematicLifeEvents,->,DrugTreatment
7,Impulsivity,->,MentalIllnessSymptomCount
8,BPD,->,ViolentThoughts
9,AbuseNeglectAsChild,->,CriminalNetwork
10,AbuseNeglectAsChild,->,CocaineDependence
11,AbuseNeglectAsChild,->,AlcoholTreatmentGivenRFAT
12,AbuseNeglectAsChild,->,AngerManagement
13,AbuseNeglectAsChild,->,LivingCircumstances
14,ASPD,->,PCLRfactor2
15,ASPD,->,AlcoholDependence
16,ASPD,->,AngerPT
17,ASPD,->,LivingCircumstances
18,prioracq,->,Education
19,prioracq,->,ViolentConvictions
20,Age,->,PCLRfacet3
21,Age,->,PCLRfactor2
22,Age,->,Intelligence
23,Age,->,DepressionPT
24,Gender,->,AggressionDL
25,PriorViolentConvictions,->,PCLRfactor2
26,PriorViolentConvictions,->,prioracq
27,PriorViolentConvictions,->,EcstasyDuringPrisonSentence
28,PriorViolentConvictions,->,Hallucinations
29,TimeAtRisk,->,ViolentConvictions
30,TimeAtRisk,->,AngerManagement
31,TimeAtRisk,->,StrangeExperiencesPT
32,CriminalFamilyBackground,->,Education
33,CriminalFamilyBackground,->,EcstasyDependence
34,CriminalFamilyBackground,->,EcstasyPT
35,Education,->,PCLRfacet3
36,Education,->,ViolentThoughts
37,Education,->,Intelligence
38,Education,->,FinancialDifficulties
39,Education,->,CocainePT
40,Intelligence,->,pclrscore
41,Intelligence,->,MentalIllnessSymptomCount
42,FinancialDifficulties,->,CannabisDependence
43,FinancialDifficulties,->,LivingCircumstances
44,DomesticStability,->,AggressionDL
45,GangMember,->,ViolentThoughts
46,GangMember,->,EcstasyDependence
47,ComplianceWithSupervision,->,NegativeAttitude
48,ComplianceWithSupervision,->,CriminalAttitude
49,ComplianceWithSupervision,->,AlcoholDependence
50,ComplianceWithSupervision,->,LivingCircumstances
51,ComplianceWithSupervision,->,ParanoidDelusionsPT
52,NegativeAttitude,->,Impulsivity
53,NegativeAttitude,->,prioracq
54,NegativeAttitude,->,CannabisPT
55,NegativeAttitude,->,AngerManagement
56,NegativeAttitude,->,AttitudeDL
57,CriminalAttitude,->,Education
58,SymptomsOfMentalIllness,->,BPD
59,SymptomsOfMentalIllness,->,PCLRfactor1
60,SymptomsOfMentalIllness,->,AlcoholDependence
61,SymptomsOfMentalIllness,->,AlcoholTreatmentGivenRFAT
62,SymptomsOfMentalIllness,->,SubstanceUse
63,SymptomsOfMentalIllness,->,ThoughtInsertion
64,SymptomsOfMentalIllness,->,Hallucinations
65,SymptomsOfMentalIllness,->,PsychiatricTreatmentGivenRFAT
66,PCLRfactor1,->,Impulsivity
67,PCLRfactor1,->,prioracq
68,PCLRfactor1,->,LivingCircumstances
69,RefuseFailToAttendTherapy,->,AbilityToCope
70,RefuseFailToAttendTherapy,->,Education
71,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
72,HazardousDrinkingAfterRelease,->,AlcoholDependence
73,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
74,CocaineBeforePrisonSentence,->,pclrscore
75,EcstasyBeforePrisonSentence,->,AlcoholDependence
76,EcstasyBeforePrisonSentence,->,EcstasyPT
77,EcstasyDuringPrisonSentence,->,EcstasyAfterRelease
78,EcstasyDuringPrisonSentence,->,EcstasyDependence
79,EcstasyDuringPrisonSentence,->,StrangeExperiencesPT
80,CocaineDuringPrisonSentence,->,BPD
81,CocaineDuringPrisonSentence,->,StrangeExperiencesPT
82,CannabisAfterRelease,->,CannabisBeforePrisonSentence
83,EcstasyAfterRelease,->,RefuseFailToAttendTherapy
84,EcstasyAfterRelease,->,EcstasyPT
85,EcstasyAfterRelease,->,DepressionPT
86,EcstasyDependence,->,PCLRfactor1
87,EcstasyDependence,->,DepressionPT
88,AnyDrugDependence,->,PCLRfacet3
89,AnyDrugDependence,->,PriorViolentConvictions
90,CannabisDependence,->,PCLRfactor1
91,CannabisDependence,->,EcstasyBeforePrisonSentence
92,CannabisDependence,->,AnyDrugDependence
93,CannabisDependence,->,Hallucinations
94,CocaineDependence,->,AggressionDL
95,CocaineDependence,->,HallucinationsPT
96,AlcoholDependence,->,Impulsivity
97,DrugTreatment,->,EcstasyDuringPrisonSentence
98,DrugTreatment,->,DrugTreatmentGivenRFAT
99,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
100,AlcoholTreatmentGivenRFAT,->,Stress
101,AlcoholTreatmentGivenRFAT,->,ViolentThoughts
102,AlcoholTreatmentGivenRFAT,->,AnxietyPT
103,AlcoholTreatmentGivenRFAT,->,StrangeExperiencesPT
104,DrugTreatmentGivenRFAT,->,ComplianceWithSupervision
105,DrugTreatmentGivenRFAT,->,SubstanceUse
106,DrugTreatmentGivenRFAT,->,PsychiatricTreatmentGivenRFAT
107,EcstasyPT,->,pclrscore
108,CannabisPT,->,pclrscore
109,CannabisPT,->,Education
110,CannabisPT,->,CannabisAfterRelease
111,CannabisPT,->,SubstanceUse
112,CocainePT,->,Victimisation
113,CocainePT,->,DomesticStability
114,CocainePT,->,CocaineDuringPrisonSentence
115,CocainePT,->,CocaineAfterRelease
116,CocainePT,->,HallucinationsPT
117,SubstanceUse,->,EcstasyPT
118,SubstanceUse,->,HazardousDrinkingPT
119,SubstanceMisuseDL,->,Stress
120,ViolentConvictions,->,Violence
121,ViolentConvictions,->,AnxietyPT
122,ResponsivenessToTreatment,->,HallucinationsPT
123,ResponsivenessToTreatment,->,ParanoidDelusionsPT
124,ResponseToTreatGivenAlcDep,->,ResponsivenessToTreatment
125,ResponseToTreatGivenDrugDep,->,Education
126,ResponseToTreatGivenDrugDep,->,EcstasyPT
