ID,Parent,Child,TrueOrFalse
0,ERRCAUTER,HREKG,true
1,LVFAILURE,STROKEVOLUME,true
2,VENTTUBE,VENTLUNG,true
3,HYPOVOLEMIA,STROKEVOLUME,true
4,PULMEMBOLUS,SHUNT,true
5,LVEDVOLUME,CVP,true
6,HYPOVOLEMIA,LVEDVOLUME,true
7,LVEDVOLUME,PCWP,true
8,VENTLUNG,MINVOL,true
9,VENTLUNG,EXPCO2,true
10,VENTALV,ARTCO2,true
11,CO,BP,true
12,INSUFFANESTH,CATECHOL,true
13,INTUBATION,SHUNT,true
14,KINKEDTUBE,PRESS,true
15,PVSAT,SAO2,true
16,ANAPHYLAXIS,TPR,true
17,INTUBATION,VENTLUNG,true
18,LVFAILURE,HISTORY,true
19,VENTLUNG,VENTALV,true
20,TPR,BP,true
21,ERRCAUTER,HRSAT,true
22,ERRLOWOUTPUT,HRBP,true
23,CATECHOL,MINVOLSET,false
24,PAP,ARTCO2,false
25,SHUNT,HR,false
26,VENTLUNG,KINKEDTUBE,false
27,PAP,PRESS,false
28,ERRLOWOUTPUT,INTUBATION,false
29,MINVOL,VENTMACH,false
30,CATECHOL,PRESS,false
31,HR,SHUNT,false
32,VENTLUNG,MINVOLSET,false
33,ARTCO2,TPR,false
34,VENTTUBE,ERRLOWOUTPUT,false
35,VENTLUNG,PVSAT,false
36,VENTTUBE,CVP,false
37,ERRLOWOUTPUT,FIO2,false
38,BP,PVSAT,false
39,HISTORY,VENTLUNG,false
40,BP,STROKEVOLUME,false
41,HYPOVOLEMIA,VENTLUNG,false
42,INSUFFANESTH,DISCONNECT,false
43,STROKEVOLUME,LVEDVOLUME,false
44,HREKG,HYPOVOLEMIA,false
45,VENTMACH,STROKEVOLUME,false
