ID,Parent,Child,TrueOrFalse
0,ERRLOWOUTPUT,HRBP,true
1,LVEDVOLUME,CVP,true
2,HR,CO,true
3,LVFAILURE,HISTORY,true
4,TPR,CATECHOL,true
5,CATECHOL,HR,true
6,VENTTUBE,VENTLUNG,true
7,DISCONNECT,VENTTUBE,true
8,TPR,BP,true
9,LVEDVOLUME,PCWP,true
10,INTUBATION,PRESS,true
11,HYPOVOLEMIA,LVEDVOLUME,true
12,PVSAT,SAO2,true
13,MINVOLSET,VENTMACH,true
14,ARTCO2,EXPCO2,true
15,HYPOVOLEMIA,STROKEVOLUME,true
16,INTUBATION,VENTLUNG,true
17,VENTLUNG,VENTALV,true
18,VENTTUBE,PRESS,true
19,LVFAILURE,LVEDVOLUME,true
20,INSUFFANESTH,CATECHOL,true
21,PULMEMBOLUS,SHUNT,true
22,INTUBATION,SHUNT,true
23,VENTLUNG,SHUNT,false
24,HREKG,ERRLOWOUTPUT,false
25,MINVOLSET,PCWP,false
26,INSUFFANESTH,HREKG,false
27,LVEDVOLUME,BP,false
28,PRESS,ARTCO2,false
29,TPR,HRSAT,false
30,HYPOVOLEMIA,SAO2,false
31,SAO2,ERRCAUTER,false
32,HISTORY,PRESS,false
33,HR,SAO2,false
34,BP,HYPOVOLEMIA,false
35,DISCONNECT,ARTCO2,false
36,HREKG,PVSAT,false
37,VENTLUNG,PVSAT,false
38,CVP,PVSAT,false
39,VENTMACH,SAO2,false
40,PRESS,CVP,false
41,ERRCAUTER,MINVOLSET,false
42,HREKG,VENTTUBE,false
43,ERRLOWOUTPUT,STROKEVOLUME,false
44,PVSAT,HRSAT,false
45,HR,KINKEDTUBE,false
