ID,Parent,Child,TrueOrFalse
0,DISCONNECT,VENTTUBE,true
1,PVSAT,SAO2,true
2,INTUBATION,VENTALV,true
3,KINKEDTUBE,VENTLUNG,true
4,LVFAILURE,LVEDVOLUME,true
5,MINVOLSET,VENTMACH,true
6,CATECHOL,HR,true
7,SAO2,CATECHOL,true
8,STROKEVOLUME,CO,true
9,VENTTUBE,BP,false
10,PCWP,INTUBATION,false
11,BP,ERRCAUTER,false
12,HRSAT,ERRCAUTER,false
13,MINVOLSET,INSUFFANESTH,false
14,HREKG,KINKEDTUBE,false
15,KINKEDTUBE,PCWP,false
16,STROKEVOLUME,ERRLOWOUTPUT,false
17,MINVOLSET,HISTORY,false
18,CATECHOL,SHUNT,false
19,CATECHOL,VENTALV,false
20,CO,DISCONNECT,false
21,HYPOVOLEMIA,EXPCO2,false
22,STROKEVOLUME,CVP,false
23,ANAPHYLAXIS,HR,false
24,PVSAT,LVEDVOLUME,false
25,ANAPHYLAXIS,MINVOLSET,false
26,HR,INTUBATION,false
