ID,Parent,Child,TrueOrFalse
0,VENTALV,ARTCO2,true
1,ARTCO2,CATECHOL,true
2,LVEDVOLUME,PCWP,true
3,CO,BP,true
4,VENTLUNG,MINVOL,true
5,ERRLOWOUTPUT,HRBP,true
6,LVFAILURE,LVEDVOLUME,true
7,INTUBATION,VENTLUNG,true
8,STROKEVOLUME,CO,true
9,VENTMACH,PCWP,false
10,HR,MINVOLSET,false
11,PCWP,PRESS,false
12,VENTTUBE,HR,false
13,PVSAT,PRESS,false
14,TPR,FIO2,false
15,DISCONNECT,PAP,false
16,LVFAILURE,CVP,false
17,EXPCO2,STROKEVOLUME,false
18,VENTALV,CO,false
19,MINVOL,LVEDVOLUME,false
20,CO,MINVOLSET,false
21,VENTALV,SAO2,false
22,VENTMACH,MINVOLSET,false
23,ANAPHYLAXIS,SAO2,false
24,VENTMACH,HISTORY,false
25,SHUNT,ERRLOWOUTPUT,false
26,EXPCO2,LVEDVOLUME,false
