ID,Parent,Child,TrueOrFalse
0,INSUFFANESTH,CATECHOL,true
1,LVEDVOLUME,PCWP,true
2,SAO2,CATECHOL,true
3,TPR,BP,true
4,VENTTUBE,VENTLUNG,true
5,LVFAILURE,HISTORY,true
6,ERRCAUTER,HREKG,true
7,VENTTUBE,PRESS,true
8,KINKEDTUBE,VENTLUNG,true
9,PVSAT,ANAPHYLAXIS,false
10,INTUBATION,EXPCO2,false
11,HISTORY,ERRCAUTER,false
12,ERRCAUTER,ANAPHYLAXIS,false
13,CATECHOL,DISCONNECT,false
14,DISCONNECT,ERRLOWOUTPUT,false
15,MINVOLSET,HREKG,false
16,SAO2,INTUBATION,false
17,MINVOL,VENTALV,false
18,STROKEVOLUME,KINKEDTUBE,false
19,ERRLOWOUTPUT,PAP,false
20,MINVOL,MINVOLSET,false
21,LVFAILURE,PAP,false
22,HYPOVOLEMIA,BP,false
23,DISCONNECT,ANAPHYLAXIS,false
24,VENTMACH,HRBP,false
25,PVSAT,LVEDVOLUME,false
26,PULMEMBOLUS,HISTORY,false
