ID,Parent,Child,TrueOrFalse
0,SAO2,CATECHOL,true
1,ERRLOWOUTPUT,HRBP,true
2,TPR,CATECHOL,true
3,VENTTUBE,PRESS,true
4,VENTLUNG,VENTALV,true
5,HR,HRBP,true
6,SHUNT,SAO2,true
7,ERRCAUTER,HREKG,true
8,LVFAILURE,LVEDVOLUME,true
9,PRESS,FIO2,false
10,VENTMACH,ERRCAUTER,false
11,PULMEMBOLUS,EXPCO2,false
12,PVSAT,STROKEVOLUME,false
13,EXPCO2,MINVOLSET,false
14,VENTALV,HR,false
15,CVP,TPR,false
16,HR,ERRCAUTER,false
17,HYPOVOLEMIA,KINKEDTUBE,false
18,FIO2,INSUFFANESTH,false
19,FIO2,CO,false
20,VENTALV,HRBP,false
21,VENTMACH,ANAPHYLAXIS,false
22,PCWP,PRESS,false
23,BP,CVP,false
24,HR,HYPOVOLEMIA,false
25,CVP,DISCONNECT,false
26,PVSAT,PCWP,false
